year,month,str
1935,7,45.16999817
1935,6,78.93000031
1935,3,149.5
1935,5,149.5
1935,11,149.5
1935,10,131.6600037
1935,9,33.59999847
1936,4,149.5
1936,8,45.5
1936,12,149.5
1936,2,149.5
1936,1,149.5
1936,7,67.01000214
1936,6,147.3600006
1936,3,149.5
1936,5,149.5
1936,11,76.94999695
1936,10,71.91999817
1936,9,62.72999954
1937,4,149.5
1937,8,39.40000153
1937,12,149.5
1937,2,149.5
1937,1,146.2899933
1937,7,46.59999847
1937,6,111.6100006
1937,3,149.5
1937,5,149.5
1937,11,149.5
1937,10,115.7900009
1937,9,33.90999985
1938,4,149.5
1938,8,38.40999985
1938,12,149.5
1938,2,149.5
1938,1,149.5
1938,7,45.79999924
1938,6,91.59999847
1938,3,149.5
1938,5,149.5
1938,11,149.5
1938,10,149.5
1938,9,45.41999817
1939,4,149.5
1939,8,38.74000168
1939,12,149.5
1939,2,149.5
1939,1,149.5
1939,7,44.95000076
1939,6,84.37999725
1939,3,149.5
1939,5,149.5
1939,11,149.5
1939,10,149.5
1939,9,73.41000366
1940,4,149.5
1940,8,37.88999939
1940,12,149.5
1940,2,149.5
1940,1,149.5
1940,7,45.29999924
1940,6,85.83999634
1940,3,149.5
1940,5,149.5
1940,11,149.5
1940,10,138.8399963
1940,9,69.26999664
1941,4,149.5
1941,8,40.56999969
1941,12,149.5
1941,2,149.5
1941,1,149.5
1941,7,45.63999939
1941,6,88.91000366
1941,3,149.5
1941,5,149.5
1941,11,149.5
1941,10,95.05000305
1941,9,45.40000153
1942,4,149.5
1942,8,37.63000107
1942,12,149.5
1942,2,149.5
1942,1,149.5
1942,7,44.86999893
1942,6,81.51999664
1942,3,149.5
1942,5,149.5
1942,11,149.5
1942,10,46.56000137
1942,9,35.02000046
1943,4,149.5
1943,8,38.63000107
1943,12,149.5
1943,2,149.5
1943,1,149.5
1943,7,45.72999954
1943,6,94.97000122
1943,3,149.5
1943,5,114.0599976
1943,11,149.5
1943,10,99.98999786
1943,9,32.86999893
1944,4,149.5
1944,8,38.43000031
1944,12,149.5
1944,2,149.5
1944,1,149.5
1944,7,45.68000031
1944,6,89.26000214
1944,3,149.5
1944,5,136.6799927
1944,11,149.5
1944,10,124.6600037
1944,9,43.77000046
1945,4,149.5
1945,8,38.54000092
1945,12,149.5
1945,2,149.5
1945,1,149.5
1945,7,45.90999985
1945,6,105.9899979
1945,3,149.5
1945,5,149.5
1945,11,149.5
1945,10,149.5
1945,9,34.33000183
1946,4,149.5
1946,8,37.13999939
1946,12,149.5
1946,2,149.5
1946,1,149.5
1946,7,44.63999939
1946,6,63.38000107
1946,3,149.5
1946,5,130.4799957
1946,11,149.5
1946,10,103.2900009
1946,9,59.18999863
1947,4,149.5
1947,8,39.81999969
1947,12,149.5
1947,2,149.5
1947,1,149.5
1947,7,46.75
1947,6,113.4800034
1947,3,149.5
1947,5,103.5400009
1947,11,149.5
1947,10,149.5
1947,9,34.34000015
1948,4,149.5
1948,8,38.59999847
1948,12,149.5
1948,2,149.5
1948,1,149.5
1948,7,45.68999863
1948,6,92.37999725
1948,3,149.5
1948,5,149.5
1948,11,149.5
1948,10,47.15999985
1948,9,38.11999893
1949,4,149.5
1949,8,60.84999847
1949,12,149.5
1949,2,149.5
1949,1,146.0200043
1949,7,44.68000031
1949,6,78.01000214
1949,3,149.5
1949,5,149.5
1949,11,149.5
1949,10,59.99000168
1949,9,47.00999832
1950,4,149.5
1950,8,38.11000061
1950,12,149.5
1950,2,149.5
1950,1,144.5
1950,7,45.52999878
1950,6,98.65000153
1950,3,149.5
1950,5,149.5
1950,11,149.5
1950,10,149.5
1950,9,55.81000137
1951,4,149.5
1951,8,37.95000076
1951,12,149.5
1951,2,149.5
1951,1,149.5
1951,7,44.63000107
1951,6,77.12999725
1951,3,149.5
1951,5,149.5
1951,11,149.5
1951,10,149.5
1951,9,32.31000137
1952,4,149.5
1952,8,44.84999847
1952,12,149.5
1952,2,149.5
1952,1,144.2799988
1952,7,55.79999924
1952,6,149.5
1952,3,149.5
1952,5,149.5
1952,11,149.5
1952,10,62.47000122
1952,9,65.29000092
1953,4,149.5
1953,8,42.74000168
1953,12,149.5
1953,2,149.5
1953,1,149.5
1953,7,46.04000092
1953,6,107.6299973
1953,3,149.5
1953,5,149.5
1953,11,149.5
1953,10,109.0199966
1953,9,40.63999939
1954,4,149.5
1954,8,52.13999939
1954,12,149.5
1954,2,149.5
1954,1,149.5
1954,7,44.11000061
1954,6,66.94000244
1954,3,149.5
1954,5,95.65000153
1954,11,149.5
1954,10,71.58999634
1954,9,61.70999908
1955,4,149.5
1955,8,38.09999847
1955,12,149.5
1955,2,149.5
1955,1,149.5
1955,7,45.68000031
1955,6,86.87000275
1955,3,149.5
1955,5,149.5
1955,11,149.5
1955,10,81.05999756
1955,9,58.90000153
1956,4,149.5
1956,8,41.29999924
1956,12,149.5
1956,2,149.5
1956,1,149.5
1956,7,48.52999878
1956,6,149.5
1956,3,149.5
1956,5,149.5
1956,11,149.5
1956,10,149.5
1956,9,58.52999878
1957,4,149.5
1957,8,37.70000076
1957,12,149.5
1957,2,149.5
1957,1,149.5
1957,7,44.88999939
1957,6,80.62999725
1957,3,149.5
1957,5,149.5
1957,11,149.5
1957,10,149.5
1957,9,78.05999756
1958,4,149.5
1958,8,43.20999908
1958,12,149.5
1958,2,149.5
1958,1,149.5
1958,7,46.54000092
1958,6,109.3499985
1958,3,149.5
1958,5,149.5
1958,11,149.5
1958,10,80.20999908
1958,9,67.83000183
1959,4,149.5
1959,8,42.70000076
1959,12,149.5
1959,2,149.5
1959,1,149.5
1959,7,44.11999893
1959,6,72.72000122
1959,3,149.5
1959,5,145.0899963
1959,11,131.1300049
