year,month,tmn
1940,5,6.489999771
1940,11,0.280000001
1940,10,5.369999886
1940,9,7.78000021
1941,4,-0.01
1941,8,9.420000076
1941,12,-1.580000043
1941,2,-0.129999995
1941,1,-1.220000029
1941,7,12.59000015
1941,6,7.239999771
1941,3,-0.140000001
1941,5,5.650000095
1941,11,1.850000024
1941,10,3.5
1941,9,7
1942,4,0.519999981
1942,8,10
1942,12,-1.340000033
1942,2,-3.400000095
1942,1,-1.679999948
1942,7,12.43999958
1942,6,7.429999828
1942,3,-1.929999948
1942,5,2.089999914
1942,11,0.01
1942,10,5.860000134
1942,9,8.930000305
1943,4,2.25
1943,8,9.640000343
1943,12,-1.029999971
1943,2,-1.600000024
1943,1,-1.820000052
1943,7,10.77000046
1943,6,6.179999828
1943,3,-0.340000004
1943,5,5.670000076
1943,11,1.919999957
1943,10,4.75
1943,9,11.73999977
1944,4,-0.670000017
1944,8,10.35000038
1944,12,-0.310000002
1944,2,-3.130000114
1944,1,-2.150000095
1944,7,10.93999958
1944,6,6.849999905
1944,3,-1.210000038
1944,5,4.820000172
1944,11,0.050000001
1944,10,6.710000038
1944,9,11.5
1945,4,0.819999993
1945,8,12.30000019
1945,12,-1.879999995
1945,2,-1.720000029
1945,1,-2.039999962
1945,7,14.31999969
1945,6,8.949999809
1945,3,-3.180000067
1945,5,4.059999943
1945,11,-0.709999979
1945,10,6.269999981
1945,9,9.880000114
1946,4,1.639999986
1946,8,13.75
1946,12,-0.310000002
1946,2,-4.179999828
1946,1,-3.220000029
1946,7,13.06999969
1946,6,7.090000153
1946,3,-1.600000024
1946,5,4.949999809
1946,11,-0.779999971
1946,10,2.549999952
1946,9,8.550000191
1947,4,2.829999924
1947,8,7.559999943
1947,12,-2.079999924
1947,2,0.039999999
1947,1,-3.5
1947,7,10.93999958
1947,6,7.320000172
1947,3,0.930000007
1947,5,7.099999905
1947,11,-1.190000057
1947,10,4.380000114
1947,9,7.610000134
1948,4,-0.5
1948,8,11.31000042
1948,12,-5.099999905
1948,2,-4.349999905
1948,1,0.059999999
1948,7,10.39999962
1948,6,8.119999886
1948,3,-3.839999914
1948,5,2.180000067
1948,11,-0.059999999
1948,10,5.579999924
1948,9,9.920000076
1949,4,2.470000029
1949,8,11.11999989
1949,12,-3.069999933
1949,2,-5.809999943
1949,1,-8.720000267
1949,7,13.05000019
1949,6,9.800000191
1949,3,-2.119999886
1949,5,4.179999828
1949,11,4.820000172
1949,10,4.449999809
1949,9,9.479999542
1950,4,1.629999995
1950,8,13.80000019
1950,12,1.610000014
1950,2,-2.079999924
1950,1,-6.440000057
1950,7,14.40999985
1950,6,7.78000021
1950,3,-1.639999986
1950,5,4.550000191
1950,11,3.529999971
1950,10,5.710000038
1950,9,9.409999847
1951,4,2.660000086
1951,8,12.38000011
1951,12,-3.640000105
1951,2,-2.200000048
1951,1,-2.769999981
1951,7,12.48999977
1951,6,10.31999969
1951,3,-1.799999952
1951,5,4.880000114
1951,11,1.850000024
1951,10,4.650000095
1951,9,11.30000019
1952,4,1.450000048
1952,8,13.02000046
1952,12,-2.279999971
1952,2,-2.890000105
1952,1,-4.960000038
1952,7,14.22999954
1952,6,6
1952,3,-4.159999847
1952,5,5.449999809
1952,11,0.310000002
1952,10,8.229999542
1952,9,10.28999996
1953,4,0.029999999
1953,8,11.02000046
1953,12,-0.860000014
1953,2,-2.160000086
1953,1,-0.389999986
1953,7,13.5
1953,6,5.380000114
1953,3,-2
1953,5,1.070000052
1953,11,1.330000043
1953,10,5
1953,9,11.69999981
1954,4,3.140000105
1954,8,9.510000229
1954,12,-2.339999914
1954,2,-1.149999976
1954,1,-2.450000048
1954,7,12.93000031
1954,6,6.559999943
1954,3,-2.730000019
1954,5,5.659999847
1954,11,1.629999995
1954,10,2.680000067
1954,9,7.260000229
1955,4,-2.069999933
1955,8,14.02000046
1955,12,-1.110000014
1955,2,-4.570000172
1955,1,-5.179999828
1955,7,11.03999996
1955,6,8.050000191
1955,3,-2.819999933
1955,5,4.110000134
1955,11,0.07
1955,10,6.619999886
1955,9,10.14999962
1956,4,0.639999986
1956,8,11.68000031
1956,12,-2.910000086
1956,2,-4.869999886
1956,1,-2.029999971
1956,7,12.94999981
1956,6,8.699999809
1956,3,-2.230000019
1956,5,4.860000134
1956,11,0.810000002
1956,10,3.710000038
1956,9,10.27999973
1957,4,1.25
1957,8,11.01000023
1957,12,-0.629999995
1957,2,-0.400000006
1957,1,-5.889999866
1957,7,12.65999985
1957,6,10.32999992
1957,3,-0.769999981
1957,5,4.130000114
1957,11,-0.349999994
1957,10,3.710000038
1957,9,10.61999989
1958,4,0.01
1958,8,15.57999992
1958,12,0.889999986
1958,2,-0.140000001
1958,1,-1.389999986
1958,7,12.67000008
1958,6,7.869999886
1958,3,-2.960000038
1958,5,5.409999847
1958,11,1.870000005
1958,10,9.319999695
1958,9,10.75
1959,4,4.010000229
1959,8,12.22000027
1959,12,-1.179999948
1959,2,-2.640000105
1959,1,-1.00999999
1959,7,14.84000015
1959,6,9.979999542
1959,3,0.330000013
1959,5,2.960000038
1959,11,4.300000191
1959,10,7.579999924
1959,9,8.819999695
1960,4,0.920000017
1960,8,12.85000038
1960,12,-1.649999976
1960,2,-2.900000095
1960,1,-3.519999981
1960,7,15.47000027
1960,6,11.89000034
1960,3,0.469999999
1960,5,3.160000086
1960,11,0.079999998
1960,10,5.769999981
1960,9,11.03999996
1961,4,1.350000024
1961,8,13.93999958
1961,12,-2.099999905
1961,2,-0.769999981
1961,1,0.209999993
1961,7,12.15999985
1961,6,11.96000004
1961,3,-1.539999962
1961,5,2.670000076
1961,11,-0.079999998
1961,10,5.269999981
1961,9,8.140000343
1962,4,0.99000001
1962,8,11.97000027
1962,12,1.00999999
1962,2,-2.799999952
1962,1,-2.329999924
1962,7,13.5
1962,6,8.5
1962,3,-3.349999905
1962,5,3.410000086
1962,11,2.339999914
1962,10,5.789999962
1962,9,11
1963,4,-1.559999943
1963,8,11.18000031
1963,12,-0.119999997
1963,2,2.650000095
1963,1,-2.480000019
1963,7,10.78999996
1963,6,7.53000021
1963,3,-2.24000001
1963,5,5.53000021
1963,11,0.800000012
1963,10,5.380000114
1963,9,10.88000011
1964,4,0.029999999
1964,8,12.72999954
1964,12,-0.529999971
1964,2,-2.569999933
1964,1,-2.799999952
1964,7,12.75
1964,6,7.230000019
1964,3,-2.75999999
1964,5,2.640000105
1964,11,-1.320000052
1964,10,8.06000042
1964,9,8.680000305
1965,4,1.779999971
1965,8,11.67000008
1965,12,-3.549999952
1965,2,-1.75
1965,1,-1.639999986
1965,7,12.15999985
1965,6,7.400000095
1965,3,-0.649999976
1965,5,3.839999914
1965,11,1.029999971
1965,10,7.480000019
1965,9,7.230000019
1966,4,3.210000038
1966,8,13.61999989
1966,12,-1.120000005
1966,2,-4.739999771
1966,1,-3.869999886
1966,7,11.61999989
1966,6,9.170000076
1966,3,-1.129999995
1966,5,7.429999828
1966,11,1.840000033
1966,10,5.730000019
1966,9,8.630000114
1967,4,-3.930000067
1967,8,15.10999966
1967,12,-3.690000057
1967,2,-1.019999981
1967,1,-1.470000029
1967,7,13.60999966
1967,6,7.630000114
1967,3,-1.710000038
1967,5,3.730000019
1967,11,3.5
1967,10,5.349999905
1967,9,11.15999985
1968,4,1.389999986
1968,8,10.38000011
1968,12,-4.170000076
1968,2,0.819999993
1968,1,-2.720000029
1968,7,13.47000027
1968,6,9.529999733
1968,3,-0.479999989
1968,5,3.920000076
1968,11,1.360000014
1968,10,3.25999999
1968,9,9.279999733
1969,4,0.289999992
1969,8,12.06999969
1969,12,-0.100000001
1969,2,-4.03000021
1969,1,-2.359999895
1969,7,12.48999977
1969,6,8.270000458
1969,3,-1.960000038
1969,5,5.71999979
1969,11,3.089999914
1969,10,3.220000029
1969,9,10.82999992
1970,4,-1.120000005
1970,8,13.51000023
1970,12,-3.140000105
