year,month,pck
1998,5,370.9599915
1998,11,39.72000122
1998,10,0
1998,9,0
1999,4,299.1099854
1999,8,0
1999,12,0
1999,2,544.6400146
1999,1,217.8699951
1999,7,0
1999,6,0
1999,3,517.789978
1999,5,0
1999,11,0
1999,10,0
1999,9,0
2000,4,0
2000,8,0
2000,12,0
2000,2,473.3599854
2000,1,210.1399994
2000,7,0
2000,6,0
2000,3,354.6600037
2000,5,0
2000,11,0
2000,10,0
2000,9,0
2001,4,0
2001,8,0
2001,12,338.2600098
2001,2,170.6999969
2001,1,28.5
2001,7,0
2001,6,0
2001,3,0
2001,5,0
2001,11,0
2001,10,0
2001,9,0
2002,4,0
2002,8,0
2002,12,323.9700012
2002,2,372.2999878
2002,1,420.0400085
2002,7,0
2002,6,0
2002,3,343.8800049
2002,5,0
2002,11,0
2002,10,0
2002,9,0
2003,4,140.5899963
2003,8,0
2003,12,277.9500122
2003,2,242.2599945
2003,1,263.9200134
2003,7,0
2003,6,0
2003,3,144.5899963
2003,5,0
2003,11,0
2003,10,0
2003,9,0
2004,4,0
2004,8,0
2004,12,48.72999954
2004,2,543.4699707
2004,1,337.3699951
2004,7,0
2004,6,0
2004,3,278.0499878
2004,5,0
2004,11,0
2004,10,0
2004,9,0
2005,4,0
2005,8,0
2005,12,215.2700043
2005,2,130.3899994
2005,1,158.2599945
2005,7,0
2005,6,0
2005,3,46.61999893
2005,5,0
2005,11,0
2005,10,0
2005,9,0
2006,4,566.8099976
2006,8,0
2006,12,36.29999924
2006,2,383.1199951
2006,1,388.5799866
2006,7,0
2006,6,0
2006,3,744.9000244
2006,5,0
2006,11,0
2006,10,0
2006,9,0
2007,4,0
2007,8,0
2007,12,166.2599945
2007,2,135.2599945
2007,1,23.53000069
2007,7,0
2007,6,0
2007,3,0
2007,5,0
2007,11,0
2007,10,0
2007,9,0
2008,4,19.52000046
2008,8,0
2008,12,71.34999847
2008,2,473.2399902
2008,1,426.8500061
2008,7,0
2008,6,0
2008,3,323.6600037
2008,5,0
2008,11,0
2008,10,0
2008,9,0
2009,4,0
2009,8,0
2009,12,103.4599991
2009,2,160.1000061
2009,1,16.54999924
2009,7,0
2009,6,0
2009,3,114.1999969
2009,5,0
2009,11,0
2009,10,0
2009,9,0
2010,4,7.050000191
2010,8,0
2010,12,230.1600037
2010,2,206.2799988
2010,1,188.0800018
2010,7,0
2010,6,0
2010,3,137.8399963
2010,5,0
2010,11,0
2010,10,0
2010,9,0
2011,4,361.0400085
2011,8,0
2011,12,0
2011,2,302.8500061
2011,1,178.6499939
2011,7,0
2011,6,0
2011,3,596.8499756
2011,5,0
2011,11,0
2011,10,0
2011,9,0
2012,4,0
2012,8,0
2012,12,367.4700012
2012,2,0
2012,1,0
2012,7,0
2012,6,0
2012,3,131.3000031
2012,5,0
2012,11,0
2012,10,0
2012,9,0
2013,4,0
2013,8,0
2013,12,0
2013,2,269.9899902
2013,1,332.6799927
2013,7,0
2013,6,0
2013,3,68.38999939
2013,5,0
2013,11,0
2013,10,0
2013,9,0
2014,4,0
2014,8,0
2014,12,106.8499985
2014,2,34.38000107
2014,1,0
2014,7,0
2014,6,0
2014,3,0
2014,5,0
2014,11,0
2014,10,0
2014,9,0
2015,4,0
2015,8,0
2015,12,280.8500061
2015,2,0
2015,1,8.220000267
2015,7,0
2015,6,0
2015,3,0
2015,5,0
2015,11,0
2015,10,0
2015,9,0
2016,4,0
2016,8,0
2016,12,133.9400024
2016,2,417.4100037
2016,1,523.8499756
2016,7,0
2016,6,0
2016,3,347.1799927
2016,5,0
2016,11,0
2016,10,0
2016,9,0
2017,4,655.1400146
2017,8,0
2017,12,0
2017,2,1037.819946
2017,1,722.5800171
2017,7,0
2017,6,0
2017,3,892.5700073
2017,5,0
2017,11,0
2017,10,0
2017,9,0
2018,4,0
2018,8,0
2018,12,0
2018,2,0
2018,1,0
2018,7,0
2018,6,0
2018,3,117.5500031
2018,5,0
2018,11,0
2018,10,0
2018,9,0
2019,4,383.4200134
2019,8,0
2019,12,87.13999939
2019,2,772.9500122
2019,1,88.15000153
2019,7,0
2019,6,0
2019,3,777.5
2019,5,0
2019,11,0
2019,10,0
2019,9,0
2020,4,0
2020,8,0
2020,12,0
2020,2,0
2020,1,97.95999908
2020,7,0
2020,6,0
2020,3,0
2020,5,0
2020,11,0
2020,10,0
2020,9,0
2021,4,0
2021,8,0
2021,12,197.6600037
2021,2,9.760000229
2021,1,31.43000031
2021,7,0
2021,6,0
2021,3,0
2021,5,0
2021,11,0
2021,10,0
2021,9,0
2022,4,0
2022,8,0
2022,2,34.27999878
2022,1,125.4199982
2022,7,0
2022,6,0
2022,3,0
2022,5,0
2022,9,0
