year,month,ppt
1944,8,0
1944,12,218.7299957
1944,2,294.9899902
1944,1,223.4199982
1944,7,3.680000067
1944,6,42.81000137
1944,3,167.7100067
1944,5,48.50999832
1944,11,344.7600098
1944,10,80.88999939
1944,9,11.01000023
1945,4,50.95000076
1945,8,0
1945,12,531.5499878
1945,2,434.5
1945,1,46.02999878
1945,7,0.75999999
1945,6,52.72000122
1945,3,255.6499939
1945,5,108.2200012
1945,11,280.3699951
1945,10,194.3500061
1945,9,1.370000005
1946,4,17.27000046
1946,8,0
1946,12,150.1799927
1946,2,149.5
1946,1,98
1946,7,12.81999969
1946,6,0
1946,3,241.2100067
1946,5,42.68000031
1946,11,304.0299988
1946,10,51.38999939
1946,9,22.04999924
1947,4,55.70999908
1947,8,0
1947,12,37.91999817
1947,2,172.8999939
1947,1,77.33999634
1947,7,0
1947,6,95.66999817
1947,3,327.3800049
1947,5,19.69000053
1947,11,62.16999817
1947,10,269.8900146
1947,9,0.01
1948,4,425.4500122
1948,8,0.109999999
1948,12,246.1900024
1948,2,130.2899933
1948,1,246.7299957
1948,7,0
1948,6,11.88000011
1948,3,280.75
1948,5,122.1200027
1948,11,168.0700073
1948,10,12.40999985
1948,9,5
1949,4,13.56999969
1949,8,16.17000008
1949,12,117.7900009
1949,2,216.7899933
1949,1,106.2699966
1949,7,0.039999999
1949,6,0.479999989
1949,3,331.7099915
1949,5,77.97000122
1949,11,139.0899963
1949,10,12.97999954
1949,9,1.620000005
1950,4,151.2799988
1950,8,0.109999999
1950,12,474.9599915
1950,2,214.6300049
1950,1,582.8599854
1950,7,0.330000013
1950,6,18.23999977
1950,3,282.7799988
1950,5,95.66000366
1950,11,611.539978
1950,10,235.3200073
1950,9,17.70000076
1951,4,89.34999847
1951,8,0.680000007
1951,12,498.6900024
1951,2,190.4600067
1951,1,384.3200073
1951,7,0
1951,6,0
1951,3,179.0899963
1951,5,101.3799973
1951,11,272.6300049
1951,10,202.4700012
1951,9,0.039999999
1952,4,57.97999954
1952,8,1.399999976
1952,12,451.4899902
1952,2,320.0400085
1952,1,551.8699951
1952,7,19.75
1952,6,43.79000092
1952,3,338.8900146
1952,5,49.02000046
1952,11,131.5
1952,10,2.650000095
1952,9,20.44000053
1953,4,222.1399994
1953,8,3.839999914
1953,12,97.58999634
1953,2,15.11999989
1953,1,448.9400024
1953,7,0.039999999
1953,6,47.24000168
1953,3,254.8899994
1953,5,149.7299957
1953,11,209.1300049
1953,10,68.37999725
1953,9,3.599999905
1954,4,171.4100037
1954,8,8.029999733
1954,12,322.8399963
1954,2,244.8699951
1954,1,304.4200134
1954,7,0.01
1954,6,52.41999817
1954,3,314.6400146
1954,5,10.01000023
1954,11,180.8099976
1954,10,14.63000011
1954,9,9.819999695
1955,4,221.0099945
1955,8,0
1955,12,1082.420044
1955,2,127.9400024
1955,1,227.5
1955,7,4.699999809
1955,6,6.730000019
1955,3,85.45999908
1955,5,35.50999832
1955,11,200.1399994
1955,10,25.27000046
1955,9,20.79999924
1956,4,94.90000153
1956,8,0
1956,12,83.76000214
1956,2,235.5200043
1956,1,549.6300049
1956,7,5.119999886
1956,6,3.25
1956,3,40
1956,5,146.7700043
1956,11,8.010000229
1956,10,214.5700073
1956,9,17.22999954
1957,4,124.5
1957,8,0
1957,12,287.8800049
1957,2,372
1957,1,188.7100067
1957,7,0
1957,6,3.640000105
1957,3,267.4700012
1957,5,266.6300049
1957,11,122.3600006
1957,10,137.1600037
1957,9,40.36000061
1958,4,265.6900024
1958,8,4.329999924
1958,12,77.30999756
1958,2,525.4899902
1958,1,300.9200134
1958,7,4.170000076
1958,6,53.54000092
1958,3,461.0499878
1958,5,48.5
1958,11,81.36000061
1958,10,18.55999947
1958,9,24.62000084
1959,4,69.91000366
1959,8,5.940000057
1959,12,101.0199966
1959,2,335.7900085
1959,1,380.4200134
1959,7,0
1959,6,0.01
1959,3,90
1959,5,56.93000031
1959,11,0
1959,10,0.670000017
1959,9,103.4599991
1960,4,97.90000153
1960,8,0.02
1960,12,118.7200012
1960,2,428.769989
1960,1,366.5100098
1960,7,2.190000057
1960,6,0
1960,3,316.0499878
1960,5,78.34999847
1960,11,274.8299866
1960,10,22.29999924
1960,9,2.160000086
1961,4,100.5699997
1961,8,16.95000076
1961,12,175.7200012
1961,2,182.9299927
1961,1,72.16000366
1961,7,0.899999976
1961,6,21.53000069
1961,3,260.7200012
1961,5,95.66999817
1961,11,134.8000031
1961,10,72.37999725
1961,9,13.97999954
1962,4,63.45999908
1962,8,7.980000019
1962,12,210.1199951
1962,2,611.039978
1962,1,141.9299927
1962,7,3.519999981
1962,6,1.669999957
1962,3,270.6900024
1962,5,34.88999939
1962,11,97.02999878
1962,10,575.5100098
1962,9,6.139999866
1963,4,401.2600098
1963,8,1.25999999
1963,12,42.02999878
1963,2,318.8699951
1963,1,196.1699982
1963,7,0
1963,6,35.16999817
1963,3,269.8399963
1963,5,106.1299973
1963,11,417.6900024
1963,10,99.12999725
1963,9,26.45000076
1964,4,62.59000015
1964,8,1.299999952
1964,12,1041.390015
1964,2,19.06999969
1964,1,325.3399963
1964,7,0
1964,6,57.43999863
1964,3,157.0700073
1964,5,129.4499969
1964,11,323.3200073
1964,10,46.16999817
1964,9,8.909999847
1965,4,237.9799957
1965,8,63.04999924
1965,12,222.4900055
1965,2,61.52000046
1965,1,387
1965,7,2.559999943
1965,6,35.90999985
