year,month,cwd
1928,2,22.90999985
1928,1,15.68999958
1928,7,171.1000061
1928,6,97.37999725
1928,3,23.97999954
1928,5,75.30000305
1928,11,28.39999962
1928,10,63.70000076
1928,9,107
1929,4,48.68999863
1929,8,124.1800003
1929,12,20.29999924
1929,2,20.56999969
1929,1,14.52999973
1929,7,87.31999969
1929,6,58.75999832
1929,3,32.34000015
1929,5,70.58999634
1929,11,31.79999924
1929,10,67
1929,9,103.4000015
1930,4,56.25
1930,8,142
1930,12,16.07999992
1930,2,23.52000046
1930,1,12.03999996
1930,7,143.1900024
1930,6,87.41000366
1930,3,33.58000183
1930,5,65.29000092
1930,11,26.48999977
1930,10,58.24000168
1930,9,100.5999985
1931,4,58.93999863
1931,8,146.6999969
1931,12,13.93999958
1931,2,22.61000061
1931,1,15.22999954
1931,7,113.3399963
1931,6,56.31000137
1931,3,33.86000061
1931,5,75.30000305
1931,11,23.04999924
1931,10,62.29000092
1931,9,101.4000015
1932,4,46.61999893
1932,8,142
1932,12,14.97999954
1932,2,21.47999954
1932,1,12.93000031
1932,7,135.6799927
1932,6,59.41999817
1932,3,34.02999878
1932,5,47.16999817
1932,11,31.89999962
1932,10,66.30000305
1932,9,112.9000015
1933,4,56.25
1933,8,147.3999939
1933,12,16.70000076
1933,2,20.27000046
1933,1,13.56000042
1933,7,139.6699982
1933,6,83.43000031
1933,3,32.50999832
1933,5,43.84999847
1933,11,27.51000023
1933,10,71.40000153
1933,9,103.9000015
1934,4,62.29999924
1934,8,151.1999969
1934,12,17.04999924
1934,2,24.04999924
1934,1,16.86000061
1934,7,118.1100006
1934,6,58.59999847
1934,3,38.63000107
1934,5,74.16000366
1934,11,23.96999931
1934,10,56.09000015
1934,9,110.4000015
1935,4,42.13999939
1935,8,151
1935,12,17.13999939
1935,2,23.13999939
1935,1,14.88000011
1935,7,136.5599976
1935,6,86.12999725
1935,3,28.51000023
1935,5,70.75
1935,11,24.26000023
1935,10,63.90000153
1935,9,111.3000031
1936,4,59.06000137
1936,8,130.0800018
1936,12,16.90999985
1936,2,19.14999962
1936,1,14.06999969
1936,7,91.01000214
1936,6,58.13999939
1936,3,35.15000153
1936,5,73.01999664
1936,11,28.86000061
1936,10,63.20999908
1936,9,108.8000031
1937,4,44.66999817
1937,8,144
1937,12,16.79999924
1937,2,18.62999916
1937,1,11.18999958
1937,7,108.0899963
1937,6,58.40999985
1937,3,22.87000084
1937,5,74.37999725
1937,11,24.20999908
1937,10,66.40000153
1937,9,109.6999969
1938,4,49.93999863
1938,8,147.8000031
1938,12,17.57999992
1938,2,18.95000076
1938,1,16.23999977
1938,7,124.0699997
1938,6,86.62000275
1938,3,21.52000046
1938,5,71.88999939
1938,11,24.46999931
1938,10,63.70000076
1938,9,109.5999985
1939,4,62.11999893
1939,8,151
1939,12,17.94000053
1939,2,20.42000008
1939,1,15.77000046
1939,7,140.9199982
1939,6,83.98000336
1939,3,33.86000061
1939,5,53.97000122
1939,11,27.15999985
1939,10,55.95999908
1939,9,108.5999985
1940,4,58.08000183
1940,8,148.1999969
1940,12,16.54999924
1940,2,19.87999916
1940,1,14.27999973
1940,7,133.9600067
1940,6,89.91999817
1940,3,24.70000076
1940,5,75.56999969
1940,11,24.93000031
1940,10,59.99000168
1940,9,104
1941,4,41.58000183
1941,8,140.1999969
1941,12,15.28999996
1941,2,20.61000061
1941,1,13.85999966
1941,7,127.2300034
1941,6,56.84999847
1941,3,34.75999832
1941,5,49.00999832
1941,11,26.87999916
1941,10,63.59999847
1941,9,104
1942,4,42.27999878
1942,8,144.8000031
1942,12,16.40999985
1942,2,18.47999954
1942,1,14
1942,7,142.6699982
1942,6,83.87000275
1942,3,32.90000153
1942,5,45.58000183
1942,11,29.10000038
1942,10,68.19999695
1942,9,108.8000031
1943,4,53.5
1943,8,142
1943,12,17.13999939
1943,2,23.75
1943,1,14
1943,7,125.3199997
1943,6,59.72000122
1943,3,23.81999969
1943,5,74.20999908
1943,11,27.20999908
1943,10,65.30000305
1943,9,115.0999985
1944,4,53.36999893
1944,8,145
1944,12,17.40999985
1944,2,21.54000092
1944,1,15.46000004
1944,7,126.3600006
1944,6,56.77000046
1944,3,33.68999863
1944,5,72.26999664
