year,month,cwd,pck,ppt,str,tmx,tmn,pop,latitude,longitude,elevation,taxon_name
1998,7,91.93000031,0,0.660000026,68.58999634,27.93000031,13.78999996,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1998,6,56.68999863,0,34.88000107,149.5,19.799999239999998,8.039999962,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1998,3,30.70999908,883.9199829,208.1699982,149.5,10.03999996,-0.479999989,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1998,5,42.45000076,370.9599915,212.5,149.5,10.94999981,1.590000033,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1998,11,22.47999954,39.72000122,364.1900024,149.5,8.470000267,0.310000002,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1998,10,54.41999817,0,43.52999878,133.9700012,16.48999977,4.4600000380000004,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1998,9,109.5,0,54.56999969,99.81999969,23.200000760000002,11.100000380000001,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1999,4,54.11000061,299.1099854,115.7200012,149.5,11.31999969,0.25,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1999,8,144.8000031,0,10.18999958,55.90000153,25.69000053,12.31999969,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1999,12,17.76000023,0,72.58000183,149.5,10.76000023,0.400000006,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1999,2,18.87999916,544.6400146,525.6199951,149.5,6.309999943,-2.460000038,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1999,1,14.89000034,217.8699951,366.25,149.5,8.68999958,-0.219999999,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1999,7,125.8300018,0,3.079999924,45.70999908,26.90999985,12.10999966,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1999,6,84.37000275,0,12.31999969,92.69000244,22.37000084,8.399999619,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1999,3,31.5,517.789978,153.5599976,149.5,8.220000267,-1.649999976,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1999,5,71.45999908,0,56.13999939,149.5,17.950000760000002,4.8699998859999996,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1999,11,26.98999977,0,156.0500031,149.5,13.53999996,3.630000114,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1999,10,72.19999695,0,80.11000061,126.7300034,22.80999947,9.279999733,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1999,9,107.5999985,0,2.299999952,46.61999893,26.60000038,12.01000023,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2000,4,59.61000061,0,92.55000305,149.5,15.15999985,3.24000001,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2000,8,150.5,0,0,38.25,27.95999908,14.57999992,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2000,12,18.11000061,0,100.2799988,149.5,10.65999985,1.769999981,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2000,2,19.94000053,473.3599854,607.1400146,149.5,7.269999981,-0.409999996,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2000,1,13.93000031,210.1399994,467.3699951,149.5,7.150000095,-0.5,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2000,7,124.4700012,0,0,45.77999878,25.71999931,12.31999969,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2000,6,89.86000061,0,19.77000046,95.62999725,25.37000084,12.02000046,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2000,3,34.02999878,354.6600037,130.6799927,149.5,11.18999958,0.07,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2000,5,64,0,104.5800018,149.5,18.31999969,6.3800001140000004,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2000,11,24.04000092,0,47.29999924,149.5,9.970000267,-0.319999993,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2000,10,54.09000015,0,157.0599976,149.5,16.95999908,5.940000057,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2000,9,108.1999969,0,44.63000107,82.87999725,23.05999947,9.979999542,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2001,4,52.49000168,0,151.1100006,149.5,11.60999966,0.219999999,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2001,8,152.3000031,0,0,30.40999985,29.12999916,14.92000008,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2001,12,14.94999981,338.2600098,513.25,149.5,5.579999924,-1.539999962,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2001,2,21.39999962,170.6999969,258.1600037,149.5,6.269999981,-2.539999962,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2001,1,15.850000380000001,28.5,154.9100037,149.5,8.539999962,-1.139999986,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2001,7,173,0,0.439999998,38.02999878,27.40999985,14,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2001,6,115.25,0,8.409999847,46.24000168,24.54000092,11.05000019,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2001,3,36.15999985,0,112.2799988,149.5,13.44999981,2.029999971,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2001,5,80.70999908,0,8.229999542,89.23999786,24.11000061,10.18999958,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2001,11,25.59000015,0,289.9500122,149.5,11.72999954,2.970000029,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2001,10,71.40000153,0,48.5,90.68000031,22.12999916,8.770000458,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2001,9,113.3000031,0,17.44000053,42.18000031,26.26000023,11.78999996,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2002,4,59.11999893,0,86.48999786,149.5,14.649999619999999,3.079999924,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2002,8,150.3000031,0,0,36.77999878,28.23999977,14.17000008,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2002,12,15.36999989,323.9700012,582.1400146,149.5,6.300000191,-0.930000007,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2002,2,24.57999992,372.2999878,141.9400024,149.5,11.48999977,0.360000014,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2002,1,15.06999969,420.0400085,180.0899963,149.5,7.25,-2.680000067,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2002,7,153.9299927,0,0.01,44.29999924,29.78000069,15.43000031,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2002,6,89.26000214,0,0,76.36000061,25.19000053,11.43000031,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2002,3,32.90000153,343.8800049,260.019989,149.5,10.38000011,-1.220000029,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2002,5,71.77999878,0,63.22000122,149.5,18,5.2100000380000004,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2002,11,31.39999962,0,246.9799957,149.5,14.40999985,3.720000029,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2002,10,67.69999695,0,0,28.30999947,19.97999954,5.949999809,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2002,9,112.8000031,0,0.560000002,31.700000760000002,25.93000031,11.600000380000001,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2003,4,38.50999832,140.5899963,364.7399902,149.5,8.020000458,-0.689999998,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2003,8,147.3000031,0,36.47000122,80.70999908,26.38999939,13.60999966,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2003,12,15.46000004,277.9500122,524.9400024,149.5,6.3800001140000004,-0.769999981,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2003,2,23.21999931,242.2599945,102.3700027,149.5,9.449999809,-1.129999995,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2003,1,17.62999916,263.9200134,175.5099945,149.5,11.89000034,2.319999933,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2003,7,155.2400055,0,0.810000002,44.24000168,30.20999908,16.12999916,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2003,6,90.02999878,0,0.02,75.75,25.62000084,11.94999981,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2003,3,34.08000183,144.5899963,205.6100006,149.5,11.17000008,0.219999999,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2003,5,61.00999832,0,78.83000183,149.5,18.09000015,6.03000021,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2003,11,26.27000046,0,138.9900055,149.5,8.539999962,-0.150000006,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2003,10,72.15000153,0,5.2899999619999996,58.36999893,23.80999947,9.960000038,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2003,9,84.91999817,0,4.800000191,54.33000183,27.29000092,13.649999619999999,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2004,4,60.09999847,0,53.49000168,149.5,15.63000011,3.4000000950000002,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2004,8,150.1999969,0,0,31.45999908,28.11000061,14.25,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2004,12,17.22999954,48.72999954,297.0499878,149.5,9.069999695,0,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2004,2,19.89999962,543.4699707,370.3999939,149.5,6.489999771,-2.160000086,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2004,1,15.53999996,337.3699951,182.5200043,149.5,7.730000019,-1.460000038,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2004,7,175.1000061,0,0.439999998,38.97000122,28.22999954,14.649999619999999,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2004,6,94.12000275,0,2.079999924,47.29000092,24.93000031,11.43999958,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2004,3,38.79999924,278.0499878,51.50999832,149.5,16.71999931,4.079999924,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2004,5,73.08000183,0,30.31999969,117.8000031,18.82999992,5.929999828,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2004,11,24.55999947,0,107.1999969,149.5,10.47000027,0.50999999,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2004,10,64.69999695,0,214.3099976,149.5,16.37000084,5.679999828,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2004,9,110.9000015,0,9.760000229,35.66999817,25.03000069,10.65999985,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2005,4,45.75999832,0,132.9600067,149.5,12.56000042,0.639999986,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2005,8,140.5,0,0.189999998,44.97000122,28.98999977,15.10999966,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2005,12,16.549999239999998,215.2700043,825.0999756,149.5,8.840000153,0.850000024,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2005,2,23.89999962,130.3899994,148.1100006,149.5,9.470000267,0.610000014,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2005,1,15.59000015,158.2599945,298.9299927,149.5,7.559999943,-0.569999993,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2005,7,95.12000275,0,0,63.61000061,29.78000069,16.23999977,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2005,6,56.54000092,0,90.34999847,147.8899994,19.97999954,7.610000134,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2005,3,24.54000092,46.61999893,362.0100098,149.5,11.53999996,1.00999999,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2005,5,48.27000046,0,280.519989,149.5,16.46999931,5.579999924,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2005,11,26.98999977,0,162.0399933,149.5,13.01000023,3.700000048,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2005,10,63.68999863,0,51.91999817,107.7799988,18.32999992,6.260000229,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2005,9,107.3000031,0,13.899999619999999,58.86999893,23,9.220000267,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2006,4,42.04999924,566.8099976,459.4700012,149.5,11.28999996,1.610000014,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2006,8,148.3999939,0,0.050000001,36.91999817,27.37999916,13.44999981,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2006,12,17.13999939,36.29999924,248.0500031,149.5,8.890000343,-0.180000007,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2006,2,23.549999239999998,383.1199951,233.9600067,149.5,11.02999973,-0.079999998,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2006,1,13.78999996,388.5799866,370.519989,149.5,7.1199998859999996,-1.080000043,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2006,7,154.1100006,0,0.330000013,44.29000092,30.20999908,16.32999992,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2006,6,90.62999725,0,2.430000067,77.66000366,25.89999962,12.46000004,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2006,3,20.20999908,744.9000244,469.7099915,149.5,4.610000134,-3.299999952,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2006,5,75.51000214,0,50.04999924,149.5,20.13999939,7.519999981,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2006,11,29.299999239999998,0,188.7799988,149.5,10.84000015,2.299999952,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
2006,10,66.80000305,0,18.07999992,46.68000031,18.48999977,6.230000019,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
