year,month,tmx
1964,1,7.03000021
1964,7,27.54000092
1964,6,20.20000076
1964,3,9.039999962
1964,5,15.76000023
1964,11,8.039999962
1964,10,22.37999916
1964,9,23.88999939
1965,4,11.25
1965,8,25.29000092
1965,12,6.739999771
1965,2,10.98999977
1965,1,7.989999771
1965,7,26.97999954
1965,6,21.65999985
1965,3,10.65999985
1965,5,17.61000061
1965,11,10.14000034
1965,10,22.97999954
1965,9,21.79000092
1966,4,17.75
1966,8,28.92000008
1966,12,8.470000267
1966,2,6.449999809
1966,1,6.599999905
1966,7,26.10000038
1966,6,23.40999985
1966,3,10.82999992
1966,5,21.5
1966,11,11.36999989
1966,10,20.95999908
1966,9,24.82999992
1967,4,4.550000191
1967,8,29.57999992
1967,12,6.519999981
1967,2,11.93000031
1967,1,8.590000153
1967,7,28.86000061
1967,6,21.22999954
1967,3,8.289999962
1967,5,18.35000038
1967,11,13.96000004
1967,10,19.39999962
1967,9,25.69000053
1968,4,15.19999981
1968,8,23.68000031
1968,12,5.119999886
1968,2,10.22999954
1968,1,7.960000038
1968,7,28.37999916
1968,6,24.92000008
1968,3,11.40999985
1968,5,17.95000076
1968,11,10.71000004
1968,10,18.20999908
1968,9,24.84000015
1969,4,13.02999973
1969,8,29.09000015
1969,12,8.710000038
1969,2,3.390000105
1969,1,5.820000172
1969,7,27.95000076
1969,6,21.13999939
1969,3,9.25
1969,5,21.07999992
1969,11,15.09000015
1969,10,15.56999969
1969,9,25.28000069
1970,4,11.42000008
1970,8,28.55999947
1970,12,4.190000057
1970,2,11.01000023
1970,1,6.710000038
1970,7,28.76000023
1970,6,23.57999992
1970,3,11.13000011
1970,5,19.95000076
1970,11,10.64999962
1970,10,17.89999962
1970,9,24.51000023
1971,4,12.10999966
1971,8,28.82999992
1971,12,3.769999981
1971,2,9.529999733
1971,1,8
1971,7,28.22999954
1971,6,21.70000076
1971,3,9.180000305
1971,5,14.89000034
1971,11,10.64999962
1971,10,16.17000008
1971,9,23.55999947
1972,4,12.80000019
1972,8,28.60000038
1972,12,5.429999828
1972,2,9.359999657
1972,1,7.320000172
1972,7,28.78000069
1972,6,25.09000015
1972,3,14.22000027
1972,5,20.18000031
1972,11,8.789999962
1972,10,15.60000038
1972,9,21.98999977
1973,4,14.84000015
1973,8,27.56999969
1973,12,7.920000076
1973,2,7.510000229
1973,1,5.449999809
1973,7,28.53000069
1973,6,25.14999962
1973,3,7.329999924
1973,5,21.88999939
1973,11,6.230000019
1973,10,18.10000038
1973,9,24.10000038
1974,4,12.31000042
1974,8,28.09000015
1974,12,7.789999962
1974,2,8.350000381
1974,1,6.400000095
1974,7,26.37000084
1974,6,26.11000061
1974,3,9.180000305
1974,5,20.12999916
1974,11,12.57999992
1974,10,20.25
1974,9,28.52000046
1975,4,8.470000267
1975,8,25.34000015
1975,12,11.53999996
1975,2,6.909999847
1975,1,9.899999619
1975,7,26.70000076
1975,6,23.88999939
1975,3,6.96999979
1975,5,19.01000023
1975,11,10.64000034
1975,10,15.32999992
1975,9,26.57999992
1976,4,12.14000034
1976,8,22.90999985
1976,12,13.34000015
1976,2,8.770000458
1976,1,11.18999958
1976,7,27.90999985
1976,6,22.77000046
1976,3,10.77999973
1976,5,21.14999962
1976,11,17.29000092
1976,10,20.75
1976,9,23.52000046
