"","Run Index","Plate","Directory","SampleName","Plate Position","Rack #","Location","leaf_type","dried","3MSO_5.2","OH-Alkenyl_6","4MSO_7.1","Allyl_7.4","5MSO_10.2","Butenyl_12.1","Junk_13","3MT_13.6","MSOO_13.8","OH I3M_15.1","4MT _15.5","Flavonol_16.1","I3M_16.7","Flavonol_17.5","Flavonol_18.5","Junk_18.7","Indole_18.8","Population","mf","treatment","biomass","Elevation","Lat","Long","Seed.year"
"79",148,2,"150-P2-D7-202.D","NA","P2-D-07","D2",31,"induced",NA,NA,NA,15.51735,20.10172,NA,965.86273,NA,NA,51.37709,NA,12.71319,30.42442,10.2972,NA,17.68689,NA,38.84786,"LV1",19,"C",0.13,2593.416641,40.47471,-121.50486,2018
"80",150,2,"152-P2-F7-204.D","NA","P2-F-07","D2",32,"induced",NA,NA,NA,NA,16.40797,NA,1225.77209,10.50758,NA,NA,NA,11.94934,11.22456,163.07335,NA,9.35515,NA,8.65835,"YO10",5,"C",0.31,NA,NA,NA,NA
"81",152,2,"154-P2-H7-206.D","NA","P2-H-07","D2",33,"induced",NA,NA,NA,NA,948.64471,NA,12.46357,NA,NA,17.40844,7.94471,6.8428,15.54604,522.53937,NA,32.54964,NA,9.00206,"SQ2",18,"CW",0.18,1934.45122,36.66557,-118.83543,2021
"82",154,2,"156-P2-B8-208.D","NA","P2-B-08","D2",34,"induced",NA,NA,NA,14.73717,29.81849,22.57539,1291.36865,8.56438,NA,82.2834,22.08462,NA,16.93958,138.07335,NA,26.43872,NA,9.51271,"LV2",5,"CW",0.18,2500.457178,40.46563,-121.51487,2018
"83",156,2,"158-P2-D8-210.D","NA","P2-D-08","D2",35,"induced",NA,22.9187,NA,20.84437,131.85109,NA,281.13412,NA,37.85934,NA,NA,6.81823,18.69697,113.99685,NA,10.24913,NA,6.95546,"CALO",3,"C",0.17,1117.6,39.19494,-120.77055,2022
"84",158,2,"160-P2-F8-212.D","NA","P2-F-08","D2",36,"induced",NA,NA,NA,24.4508,33.77044,NA,253.47589,NA,13.52989,10.89505,NA,13.57987,28.8496,163.87697,NA,27.28432,NA,9.06734,"CALO",14,"C",0.24,1117.6,39.19494,-120.77055,2022
"85",160,2,"162-P2-H8-214.D","NA","P2-H-08","D2",37,"induced",NA,41.60059,NA,NA,1040.27051,14.28795,13.00182,NA,NA,30.44977,NA,8.71506,10.68649,288.61102,NA,23.39476,5.86691,9.05495,"SQ2",15,"C",0.18,1934.45122,36.66557,-118.83543,2021
"86",162,2,"164-P2-B9-216.D","NA","P2-B-09","D2",38,"induced",NA,40.69653,NA,NA,891.06561,NA,NA,NA,NA,36.00873,NA,NA,49.45297,68.48183,NA,60.79624,NA,10.07508,"SQ2",18,"C",0.4,1934.45122,36.66557,-118.83543,2021
"87",164,2,"166-P2-D9-218.D","NA","P2-D-09","D2",39,"induced",NA,NA,NA,41.62629,40.3919,NA,283.24597,NA,22.36458,13.38467,NA,28.66327,18.48383,99.94135,NA,22.08705,NA,6.91104,"CALO",14,"CW",0.3,1117.6,39.19494,-120.77055,2022
"88",166,2,"168-P2-F9-220.D","NA","P2-F-09","D2",40,"induced",NA,NA,73.22379,NA,NA,NA,469.9339,NA,NA,NA,NA,NA,28.35636,30.21982,NA,15.17581,NA,9.75975,"WL2",12,"C",0.27,2020.115818,38.8263,-120.25242,2020
"89",168,2,"170-P2-H9-222.D","NA","P2-H-09","D2",41,"induced",NA,NA,224.06863,35.42372,13.48699,11.55882,442.8111,NA,NA,NA,NA,NA,9.25884,396.36249,NA,34.86601,NA,9.57318,"WL3",14,"CW",0.29,2137.762877,38.83528,-120.23824,2020
"90",170,2,"172-P2-B10-224.D","NA","P2-B-10","D2",42,"induced",NA,NA,NA,75.1249,17.17561,NA,1110.43115,8.76902,NA,109.54685,14.76631,13.11741,29.04716,36.96537,12.59168,30.56567,NA,10.78001,"LV1",19,"CW",0.18,2593.416641,40.47471,-121.50486,2018
"91",172,2,"174-P2-D10-226.D","NA","P2-D-10","D2",43,"induced",NA,NA,NA,60.95072,25.58154,NA,1379.65393,10.69815,NA,66.28093,19.46821,18.04686,32.33707,139.24141,83.04648,112.63039,NA,7.82499,"LV1",14,"CW",0.18,2593.416641,40.47471,-121.50486,2018
"92",174,2,"176-P2-F10-228.D","NA","P2-F-10","D2",44,"induced",NA,46.63496,NA,NA,412.05682,NA,15.37228,NA,34.13067,NA,NA,NA,6.77891,60.85022,NA,34.9189,NA,34.3234,"SC",7,"CW",0.14,421.5178299,38.41167,-120.73583,2021
"93",176,2,"178-P2-H10-230.D","NA","P2-H-10","D2",45,"induced",NA,24.65239,NA,20.84207,87.21907,NA,262.54288,NA,35.85295,NA,NA,15.52035,21.17782,310.14529,NA,45.58189,NA,10.45931,"CALO",1,"C",0.16,1117.6,39.19494,-120.77055,2022
"94",178,2,"180-P2-B11-232.D","NA","P2-B-11","D2",46,"induced",NA,NA,NA,54.54426,NA,26.16615,634.88953,NA,NA,NA,NA,NA,19.43993,166.84341,NA,20.13812,NA,10.19923,"CP2",15,"C",0.26,2244.132886,38.66169,-120.13065,2020
"95",180,2,"182-P2-D11-234.D","NA","P2-D-11","D2",47,"induced",NA,NA,NA,19.37794,NA,18.76945,650.31049,NA,NA,NA,NA,NA,39.93435,53.10326,10.80022,33.36295,NA,7.86833,"DPR",3,"C",0.57,1018.591893,39.22846,-120.81518,2020
"96",182,2,"184-P2-F11-236.D","NA","P2-F-11","D2",48,"induced",NA,NA,NA,37.0802,92.94505,NA,585.96155,NA,16.42114,NA,NA,22.67914,12.32071,40.36169,NA,32.93847,17.59052,15.05445,"TM2",7,"CW",0.29,379.1526973,39.59255,-121.55072,2020
"97",184,2,"186-P2-H11-238.D","NA","P2-H-11","D3",1,"induced",NA,NA,32.92039,17.41817,NA,NA,419.48306,NA,NA,NA,NA,NA,9.69219,13.25102,NA,6.70989,NA,10.37147,"WL2",10,"C",0.21,2020.115818,38.8263,-120.25242,2020
"98",186,2,"188-P2-B12-240.D","NA","P2-B-12","D3",2,"induced",NA,26.38063,NA,18.50758,36.65122,NA,67.4339,NA,NA,NA,6.25629,NA,NA,39.69078,NA,17.7727,NA,9.97253,"RB",1,"CW",0.51,787,40.01362,-121.18498,2010
"99",188,2,"190-P2-D12-242.D","NA","P2-D-12","D3",3,"induced",NA,20.67509,NA,14.80172,47.24062,NA,72.82439,NA,NA,NA,NA,NA,13.57413,108.6055,NA,18.15023,NA,7.83968,"TFC",3,"C",0.27,1085,39.42772,-120.93623,2021
"100",190,2,"192-P2-F12-244.D","NA","P2-F-12","D3",4,"induced",NA,31.43873,NA,NA,599.22467,NA,20.49561,NA,51.01878,45.06938,7.35133,12.11376,13.5891,107.96035,NA,44.0093,NA,12.86921,"BH",9,"CW",0.1,511.4294422,37.40985,-119.96458,2018
"101",192,2,"194-P2-H12-246.D","NA","P2-H-12","D3",5,"induced",NA,NA,101.63408,33.70129,NA,22.01256,389.62231,NA,NA,NA,NA,NA,20.24488,221.47336,NA,40.10144,NA,10.82282,"CP2",15,"CW",0.42,2244.132886,38.66169,-120.13065,2020
"102",2,3,"003-P1-B1-056.D","NA","P1-B-01","D3",6,"induced",NA,74.48711,NA,NA,46.47591,NA,22.2262,NA,66.21845,NA,NA,NA,7.85904,50.15068,NA,15.1502,NA,NA,"RB",20,"C",0.25,787,40.01362,-121.18498,2010
"103",4,3,"005-P1-D1-058.D","NA","P1-D-01","D3",7,"induced",NA,30.22823,NA,25.58624,124.60755,NA,382.3923,NA,35.81193,NA,NA,11.39535,15.90685,87.50574,NA,18.08673,NA,NA,"KC2",3,"C",0.47,948.1707317,36.82301,-118.83542,2017
