"","Population","treatment","mf","X3MSO","OHAlkenyl","X4MSO","Allyl","X5MSO","Butenyl","X3MT","MSOO","X4MT","Flavonol16","I3M","Flavonol17","Flavonol18","Indole","totalaliphatic","totalindole","totalGSL","logGSL","logindoles","logaliphatics","biomass","totalflavonoid","logflavonoids","shannon_diversity"
"30","CP2","C",13,0,0,57.5823,8.127485,6.692885,349.59953,0,5.351185,0,27.860145,59.452825,3.46527,14.708275,19.262275,427.353385,78.7151,506.068485,6.02495244289253,4.05987501545327,5.87133755236966,0.34,427.353385,5.87133755236966,1.28127888971676
"31","CP2","C",14,0,0,54.71665,0,10.135745,260.68395,0,0,0,25.366725,37.38306,0,36.431605,24.41283,325.536345,61.79589,387.332235,5.95888283169084,4.02292853462411,5.77884112229723,0.28,325.536345,5.77884112229723,1.33480579207125
"32","CP2","C",15,10.92829,0,48.127335,31.997425,13.083075,485.58435,11.92739,9.54645,10.438935,22.60397,88.51609,11.77931,42.693375,10.94068,621.63325,99.45677,721.09002,6.55163159849035,4.13077379681063,6.42079291842695,0.315,621.63325,6.42079291842695,1.42150443846015
"33","CP2","C",17,30.296255,0,0,186.57904,10.69708,242.955155,12.403725,0,0,13.29243,15.602735,3.661485,49.555675,48.458245,482.931255,64.06098,546.992235,6.30324148326949,4.15917298923458,6.17859911313445,0.415,482.931255,6.17859911313445,1.0759949833098
"34","CP2","CW",1,0,0,118.26564,7.264275,54.120035,1144.16455,0,16.35892,17.02966,26.38588,164.520045,12.290215,21.740615,3.316505,1357.20308,167.83655,1525.03963,7.31681257310183,5.087475274478,7.20220118147463,0.36,1357.20308,7.20220118147463,1.07259228240233
"35","CP2","CW",2,0,0,19.555795,6.76576,17.16566,334.620865,0,0,5.907725,37.5386,148.573505,0,63.06415,16.43978,384.015805,165.013285,549.02909,6.30708183386735,4.91517425473362,5.93495794743537,0.275,384.015805,5.93495794743537,1.41509131468296
"36","CP2","CW",7,0,0,38.53732,27.120805,9.93328,955.23508,0,0,0,23.73105,54.229075,8.837425,28.9857,9.46015,1030.826485,63.689225,1094.51571,6.82693777052503,4.14456230216205,6.74736750278956,0.425,1030.826485,6.74736750278956,0.905014679802063
"37","CP2","CW",11,0,0,51.67308,0,9.31883,642.684415,0,31.040575,13.28583,41.840505,16.98718,9.040545,30.582595,5.469715,748.00273,22.456895,770.459625,6.64691536239852,2.95898990786961,6.61702150365678,0.4,748.00273,6.61702150365678,0.946557444601163
"38","CP2","CW",13,8.74158,0,25.685535,644.54065,7.698915,202.604185,0,0,0,12.4655,73.42716,6.879345,69.43275,34.31926,889.270865,107.74642,997.017285,6.75596255154877,4.61840957137852,6.62725003193759,0.21,889.270865,6.62725003193759,0.982386915457333
"39","CP2","CW",14,21.82126,0,18.24293,116.94722,0,106.454705,19.75004,0,0,8.06443,225.389345,10.652045,67.526225,36.111195,283.216155,261.50054,544.716695,6.24846727259941,5.092066480307,5.63902884001305,0.325,283.216155,5.63902884001305,1.30943464436754
"40","CP2","CW",15,0,71.569225,16.850645,25.769995,24.31986,306.50481,0,0,7.89362,27.30258,154.35637,3.779595,36.26478,5.41141,452.908155,159.76778,612.675935,6.37943175778276,4.95833451493224,6.09364395862842,0.45,452.908155,6.09364395862842,1.6220869795893
"41","CP2","CW",17,0,0,39.24803,5.023625,7.226515,284.4329,0,0,4.09681,16.362035,106.99065,0,17.54943,6.96286,340.02788,113.95351,453.98139,6.1180106857923,4.61867099819906,5.81907201124983,0.28,340.02788,5.81907201124983,1.21323489071481
"42","DPR","C",3,14.7274,0,32.80556,87.744375,9.384725,539.68285,14.587045,10.028855,6.20933,34.971715,74.06626,5.40011,29.131085,6.761915,715.17014,80.828175,795.998315,6.67788279228126,4.36120123281729,6.57182243993357,0.38,715.17014,6.57182243993357,1.29591444128125
"43","DPR","C",4,22.80636,0,37.5803,142.000795,0,163.09737,41.384695,6.702045,19.80796,34.516975,65.030815,13.883805,65.521915,22.56958,433.379525,87.600395,520.97992,6.18637231738002,4.43833904155087,5.99344496919599,0.44,433.379525,5.99344496919599,1.78361351026452
"44","DPR","C",10,11.997415,0,26.99399,43.51676,11.09419,542.42049,6.18438,0,9.556005,19.47603,64.066365,0,43.467125,10.08345,651.76323,74.149815,725.913045,6.478226109405,4.17836464365955,6.37246165609892,0.355,651.76323,6.37246165609892,1.26377098845322
"45","DPR","CW",3,25.722425,0,28.30973,152.131675,0,355.215655,13.871165,7.995515,5.942965,12.368015,512.914505,0,44.398705,12.20117,589.18913,525.115675,1114.304805,6.9935856412375,6.23743559674515,6.3594540524101,0.145,589.18913,6.3594540524101,1.4676934544673
"46","DPR","CW",4,11.68046,0,6.798465,91.800775,0,641.68654,57.79906,8.32596,29.5454,19.297825,36.64558,0,29.36818,18.70291,847.63666,55.34849,902.98515,6.75911134589048,3.7040954527051,6.70360509675552,0.165,847.63666,6.70360509675552,1.21506607888836
"47","DPR","CW",10,0,0,44.49602,13.89088,0,1082.75269,0,85.75382,29.11982,25.72775,22.56154,0,35.48731,36.48065,1256.01323,59.04219,1315.05542,7.1816340882105,4.07825227310021,7.13569788041216,0.23,1256.01323,7.13569788041216,0.932914262119824
"48","IH","C",1,42.47265,0,0,150.976945,0,417.223665,15.34481,29.192355,0,13.645365,14.09034,9.421215,30.04299,21.810135,655.210425,35.900475,691.1109,6.47426499683556,3.58048501731584,6.41263563824787,0.16,655.210425,6.41263563824787,1.01691599056741
"49","IH","C",9,46.82732,0,0,177.18735,0,22.48878,33.32777,0,0,0,0,0,81.43002,102.80748,279.83122,102.80748,382.6387,5.94709120191697,4.63285811301991,5.63418663570662,0.3,279.83122,5.63418663570662,1.57414145412603
"50","IH","C",10,155.246455,0,0,1036.46445,28.7411,22.880205,35.383795,5.659735,4.789215,21.29097,113.317565,25.553735,63.595725,8.488835,1289.164955,121.8064,1410.971355,7.10453505927595,3.95336047629084,7.03826967951172,0.21,1289.164955,7.03826967951172,1.16487914245636
"51","IH","CW",1,85.03542,0,0,793.118895,30.07087,198.001145,23.23208,15.90276,6.7478,15.312765,53.323175,9.223365,84.69323,25.80148,1152.10897,79.124655,1231.233625,7.05731782069468,4.24420715918268,6.99444914292899,0.175,1152.10897,6.99444914292899,1.24240373322128
"52","IH","CW",9,0,0,0,0,32.06412,1103.8772,0,0,0,26.23447,141.978,0,64.4868,26.77859,1135.94132,168.75659,1304.69791,7.1737268063696,5.12845738084199,7.03521694301736,0.2,1135.94132,7.03521694301736,0.797277978103928
"53","IH","CW",10,0,0,51.73941,17.52366,0,258.49966,0,24.22189,71.76653,30.55096,51.65844,0,48.15413,80.46079,423.75115,132.11923,555.87038,6.32053513757527,4.88370477247049,6.04914637255528,0.17,423.75115,6.04914637255528,1.84824671801157
"54","KC2","C",3,30.22823,0,25.58624,124.60755,0,382.3923,35.81193,0,11.39535,15.90685,87.50574,0,18.08673,0,610.0216,87.50574,697.52734,6.54754171005995,4.47170439121198,6.41349436637651,0.47,610.0216,6.41349436637651,1.53078930740628
"55","KC2","C",11,24.9567,194.03171,25.32308,212.60703,0,483.89395,0,0,8.508,14.44397,0,0,22.15023,5.28713,949.32047,5.28713,954.6076,6.86130036598993,1.6652755655646,6.85574643391241,0.27,949.32047,6.85574643391241,1.40122796196294
"56","KC2","CW",3,61.47251,0,72.23001,158.40591,0,378.20834,99.78745,10.12743,39.44743,11.28349,61.01111,0,26.86492,5.42003,819.67908,66.43114,886.11022,6.78684134467369,4.19616592245117,6.70891289780104,0.41,819.67908,6.70891289780104,1.83799315040348
"57","KC2","CW",11,66.856,134.40587,23.04888,304.01434,0,524.24683,54.22534,0,23.39249,9.42917,0,0,14.75478,7.63928,1130.18975,7.63928,1137.82903,7.03687736614118,2.03330335789979,7.03014081796332,0.13,1130.18975,7.03014081796332,1.55061114881549
"58","LC","C",1,16.551305,0,0,479.479155,0,43.24159,39.638905,8.008715,0,8.09709,0,5.01497,72.96662,56.99687,586.91967,56.99687,643.91654,6.43574774485763,3.8631380492506,6.31877929540242,0.295,586.91967,6.31877929540242,1.16596907166295
"59","LC","C",3,0,0,54.79696,34.41756,0,533.92438,0,55.0992,9.4424,15.20023,52.48858,0,70.35163,120.94405,687.6805,173.43263,861.11313,6.75822588952455,5.15578922426724,6.53332434053624,0.28,687.6805,6.53332434053624,1.50267340523226
"60","LC","C",7,24.80297,0,26.2974,274.66934,0,383.35526,33.93338,22.79669,9.81245,13.10711,125.99339,0,25.82839,6.65563,775.66749,132.64902,908.31651,6.8115928971568,4.88770669269366,6.65372393608613,0.32,775.66749,6.65372393608613,1.63684870723123
"61","LC","C",8,38.24234,0,18.708555,314.0567,0,202.744775,21.102415,43.86311,0,9.4635,156.551325,0,30.133955,2.75794,638.717895,159.309265,798.02716,6.6809673188554,4.9377244115502,6.44278385564621,0.235,638.717895,6.44278385564621,1.64830944294842
"62","LC","C",10,19.05222,0,7.46026,112.92776,0,329.91315,18.795905,9.01992,8.149815,9.65109,41.101265,7.17916,59.810185,44.02903,505.31903,85.130295,590.449325,6.3628468085413,4.44410847578596,6.19992031401197,0.2,505.31903,6.19992031401197,1.57124478719681
"63","LC","CW",1,44.77148,0,21.27059,280.658675,0,129.987005,42.56778,13.47441,9.44319,9.193045,43.59665,0,49.42428,34.279795,542.17313,77.876445,620.049575,6.41858247623496,4.31807638471295,6.28680303801829,0.075,542.17313,6.28680303801829,1.67443351772952
"64","LC","CW",3,41.48827,0,0,298.67767,0,304.50839,15.77964,23.44389,0,23.12212,184.47427,7.02239,21.48222,0,683.89786,184.47427,868.37213,6.76662034398383,5.21750999576083,6.52780857898671,0.15,683.89786,6.52780857898671,1.6290224047105
"65","LC","CW",8,46.48981,0,14.949035,330.594025,4.923155,262.21608,17.918245,47.85472,0,14.48045,249.54233,15.298175,57.670885,8.42649,724.94507,257.96882,982.91389,6.89029986229458,5.43197095516755,6.57671221811859,0.22,724.94507,6.57671221811859,1.8046657638047
"66","LC","CW",10,45.84322,0,13.90641,479.02588,17.9937,183.12926,10.44307,4.833195,4.62451,11.37676,276.20898,0,41.756305,26.105675,759.799245,302.314655,1062.1139,6.9478202774029,5.53400420555011,6.63121195318379,0.35,759.799245,6.63121195318379,1.36402441409003
"67","LV1","C",4,0,0,198.04428,38.0809,44.98935,1562.80798,10.96738,254.03065,96.28424,25.33951,142.88864,11.83472,19.8246,6.28223,2205.20478,149.17087,2354.37565,7.76403085452803,5.00509242742074,7.69857565431702,0.15,2205.20478,7.69857565431702,1.31275993032777
"68","LV1","C",9,0,0,135.64213,13.27898,20.865365,1481.31903,0,132.16763,14.77233,20.28741,230.181375,36.76629,60.664505,4.12088,1798.045465,234.302255,2032.34772,7.61206791950537,4.63778816280052,7.49443996724824,0.235,1798.045465,7.49443996724824,1.12287607025045
"69","LV1","C",10,12.44049,0,33.206735,169.271805,5.63326,483.46955,30.265515,41.962675,8.140705,19.594595,31.39612,0,43.664025,27.996325,784.390735,59.392445,843.78318,6.7090769374873,4.00841369308841,6.62317755891079,0.225,784.390735,6.62317755891079,1.28661743111554
"70","LV1","C",13,0,0,25.35601,13.268455,5.15293,1004.683835,0,53.062725,16.458175,45.92345,10.19006,0,44.61891,31.519465,1117.98213,41.709525,1159.691655,7.04164530421727,3.57915619397909,7.00713995312317,0.28,1117.98213,7.00713995312317,0.888044294948188
"71","LV1","C",14,0,0,19.73882,33.341545,0,943.21106,31.31304,31.4003,7.231835,20.66412,5.04465,40.756635,65.98047,42.640615,1066.2366,47.685265,1113.921865,7.01563322053539,3.86430165130355,6.97188503970395,0.195,1066.2366,6.97188503970395,0.972220008304025
"72","LV1","C",19,0,0,52.74758,22.654635,10.4572,1130.61856,0,89.775675,12.23843,19.815165,20.89814,3.783605,18.787725,22.622205,1318.49208,43.520345,1362.012425,7.19995766866383,3.7648060674526,7.16549850318317,0.215,1318.49208,7.16549850318317,0.844427090111404
"73","LV1","CW",9,0,0,42.09427,19.80552,0,807.17084,0,47.87488,16.55035,30.5792,34.62925,54.00973,40.72995,4.337215,933.49586,38.966465,972.462325,6.8746110666411,3.59257767612806,6.83152909603086,0.255,933.49586,6.83152909603086,1.22541411760509
"74","LV1","CW",10,0,54.947185,73.141135,11.79222,6.05955,683.5412,0,52.480505,7.186265,31.59237,47.373925,18.551665,62.66341,43.59454,889.14806,90.968465,980.116525,6.86436014657329,4.47353582459839,6.7545428859339,0.195,889.14806,6.7545428859339,1.3796468437225
"75","LV1","CW",13,10.597775,0,49.655255,246.40263,0,1328.91592,74.344225,11.01953,30.587015,31.56794,105.5012,58.461685,127.12084,8.244135,1751.52235,113.745335,1865.267685,7.5091133220038,4.69882876593919,7.44693162270491,0.21,1751.52235,7.44693162270491,1.37097365953299
"76","LV1","CW",14,0,0,39.4657,24.865,0,1640.246765,0,54.050345,34.294655,31.642855,93.90675,63.039475,95.97398,21.425795,1792.922465,115.332545,1908.25501,7.54781278183768,4.70845601779219,7.48237773429641,0.18,1792.922465,7.48237773429641,1.03649145664215
"77","LV1","CW",19,55.643505,0,37.56245,119.7314,0,565.58541,17.855645,54.773425,6.558705,22.140045,18.482685,6.29584,70.7731,24.66809,857.71054,43.150775,900.861315,6.64266841773131,3.75899922370108,6.57783887559838,0.165,857.71054,6.57783887559838,1.30973673827179
"78","LV2","C",2,0,60.65445,12.435915,12.386305,28.995025,736.921765,0,0,0,19.482675,34.00502,5.803015,27.99042,49.650265,851.39346,83.655285,935.048745,6.81396717777675,4.28149728358258,6.72629694313587,0.205,851.39346,6.72629694313587,1.03349344233567
"79","LV2","C",4,0,0,16.15219,0,0,222.50514,0,0,26.86708,9.65696,191.46414,0,73.65251,33.36773,265.52441,224.83187,490.35628,6.19513222893486,5.41535287843369,5.58170677619214,0.07,265.52441,5.58170677619214,1.47522302361767
"80","LV2","C",5,12.619305,0,33.601805,18.486695,0,400.51278,19.95603,33.77772,25.73667,28.835145,8.956735,23.92679,67.376185,7.44614,544.691005,16.402875,561.09388,6.31398623391075,2.49064016775213,6.27925164553163,0.19,544.691005,6.27925164553163,1.49171227147604
"81","LV2","C",8,0,0,72.229565,35.65684,7.42696,969.94211,29.491805,35.171235,8.453845,24.46117,16.06383,5.508995,17.521395,21.12177,1158.37236,37.1856,1195.55796,7.08282994649679,3.56033452940227,7.05003628425072,0.15,1158.37236,7.05003628425072,0.949803294844991
"82","LV2","C",9,0,0,0,19.4637,0,880.19733,0,0,0,9.70947,31.84776,39.89124,42.34639,47.94014,899.66103,79.7879,979.44893,6.88699009717897,4.37937186388623,6.80201805904683,0.14,899.66103,6.80201805904683,0.770668785566959
"83","LV2","C",10,0,0,86.14952,410.063615,29.64451,1281.410035,0,104.650885,14.213275,11.020425,36.452395,5.61328,46.03522,37.494765,1926.13184,73.94716,2000.079,7.41550341167848,4.28487157657856,7.35351603366352,0.135,1926.13184,7.35351603366352,0.760971868431988
"84","LV2","CW",2,0,93.3841,29.736405,7.36923,16.30261,640.470245,0,12.23259,0,14.495295,50.97339,10.171125,33.09919,18.116015,799.49518,69.089405,868.584585,6.76260205119257,4.20465062056806,6.67658046368592,0.24,799.49518,6.67658046368592,1.14752680394942
"85","LV2","CW",4,0,0,54.443845,29.289355,17.963255,1322.82782,0,93.979075,12.298115,26.549325,230.296805,0,37.337715,8.69168,1530.801465,238.988485,1769.78995,7.47408136736137,5.02118088209058,7.33348794002858,0.19,1530.801465,7.33348794002858,1.01095251283783
"86","LV2","CW",5,0,0,14.73717,29.81849,22.57539,1291.36865,0,82.2834,0,16.93958,138.07335,0,26.43872,9.51271,1440.7831,147.58606,1588.36916,7.37046308330432,4.99441146326177,7.27294206419828,0.18,1440.7831,7.27294206419828,0.923197599616293
"87","LV2","CW",8,0,0,18.98049,69.888245,12.74967,1291.814665,45.493605,8.670925,11.80719,42.559995,30.375015,0,119.771275,16.56926,1459.40479,46.944275,1506.349065,7.29123455054238,3.3167438097334,7.26383949742166,0.075,1459.40479,7.26383949742166,0.969811138104497
"88","LV2","CW",9,81.34578,0,38.187795,506.03446,0,484.453615,15.34881,71.640105,46.53925,23.346565,255.63559,5.016475,104.6146,14.303135,1243.549815,269.938725,1513.48854,7.28239260186548,5.36974433854821,7.10423369130835,0.14,1243.549815,7.10423369130835,1.63693946355369
"89","LV2","CW",10,0,0,13.56444,35.519345,0,397.747375,9.93582,20.08857,12.989235,16.388745,72.68103,0,35.607695,28.99908,489.844785,101.68011,591.524895,6.380948472935,4.58770141270638,6.19392354532335,0.195,489.844785,6.19392354532335,1.30131692716883
"90","MtSH","C",9,0,0,0,12.11329,0,401.80206,0,6.55912,10.7907,14.64653,0,0,12.73926,5.05331,431.26517,5.05331,436.31848,6.07837243540951,1.62004347412121,6.06672314453847,0.15,431.26517,6.06672314453847,0.624253873638043
"91","MtSH","CW",9,0,0,9.196845,18.928825,0,470.50062,13.24422,0,4.289425,24.37985,38.97515,0,24.86037,36.383885,516.159935,75.359035,591.51897,6.32354248891888,4.07634159102685,6.11930547087239,0.205,516.159935,6.11930547087239,1.11377930419138
"92","RB","C",1,17.10553,0,34.694785,65.523965,0,589.17086,13.004685,30.92146,7.293035,15.443,16.83795,47.24177,53.093965,14.608665,757.71432,31.446615,789.160935,6.58026181724439,3.31545465295997,6.54112393456288,0.165,757.71432,6.54112393456288,1.38612934935035
"93","RB","C",12,40.12482,0,22.687645,662.23669,0,109.003215,19.81597,0,10.36203,11.296825,184.109135,0,46.02346,25.85184,864.23037,209.960975,1074.191345,6.85414887920535,5.10929509412177,6.65667879301744,0.13,864.23037,6.65667879301744,1.40114133117465
