Rack,Location,Pop,mf,rep,trt,mass (g)
D4,35,IH,10,2,C,0.14
D4,30,IH,10,1,CW,0.17
D3,7,KC2,3,1,C,0.47
D1,32,KC2,3,1,CW,0.41
D4,19,KC2,3,2,CW,0.36
D3,31,KC2,11,1,C,0.27
D3,33,KC2,11,1,CW,0.13
D4,34,LC,1,1,C,0.29
D5,23,LC,1,2,C,0.3
D5,16,LC,1,1,CW,0.1
D5,31,LC,1,2,CW,0.05
D6,12,LC,3,1,C,0.28
D6,22,LC,3,1,CW,0.15
D1,36,LC,7,1,C,0.32
D3,25,LC,7,1,CW,0.41
D1,6,LC,8,1,C,0.22
D1,30,LC,8,2,C,0.25
D1,16,LC,8,1,CW,0.2
D2,28,LC,8,2,CW,0.24
D5,48,LC,10,1,C,0.14
D3,45,LC,10,2,C,0.26
D3,28,LC,10,1,CW,0.37
D4,14,LC,10,2,CW,0.33
D1,28,LV1,4,1,C,0.15
D2,13,LV1,9,1,C,0.21
D1,11,LV1,9,2,C,0.26
D2,23,LV1,9,1,CW,0.24
D6,32,LV1,9,2,CW,0.27
D2,16,LV1,10,1,C,0.15
D5,25,LV1,10,2,C,0.3
D6,10,LV1,10,1,CW,0.06
D2,29,LV1,10,2,CW,0.33
D6,25,LV1,13,1,C,0.27
D1,12,LV1,13,2,C,0.29
D3,41,LV1,13,1,CW,0.27
D5,37,LV1,13,2,CW,0.15
D3,30,LV1,14,1,C,0.08
D6,2,LV1,14,2,C,0.31
D6,40,LV1,14,1,CW,0.18
D2,43,LV1,14,2,CW,0.18
D1,37,LV1,19,1,C,0.3
D2,31,LV1,19,2,C,0.13
D5,34,LV1,19,1,CW,0.15
D2,42,LV1,19,2,CW,0.18
D4,6,LV2,2,1,C,0.16
D5,45,LV2,2,2,C,0.25
D5,11,LV2,2,1,CW,0.19
D2,9,LV2,2,2,CW,0.29
D6,13,LV2,4,1,C,0.07
D3,10,LV2,4,1,CW,0.19
D1,31,LV2,4,2,CW,0.19
D1,17,LV2,5,1,C,0.2
D5,2,LV2,5,2,C,0.18
D2,34,LV2,5,1,CW,0.18
D3,36,LV2,8,1,C,0.12
D1,46,LV2,8,2,C,0.18
D6,8,LV2,8,1,CW,0.04
D3,26,LV2,8,2,CW,0.11
D4,21,LV2,9,1,C,0.14
D4,27,LV2,9,1,CW,0.11
D6,17,LV2,9,2,CW,0.17
D6,4,LV2,10,1,C,0.16
D1,20,LV2,10,2,C,0.11
D5,40,LV2,10,1,CW,0.3
D2,12,LV2,10,2,CW,0.09
D1,41,MtSH,9,1,C,0.15
D2,24,MtSH,9,1,CW,0.13
D3,38,MtSH,9,2,CW,0.28
D1,38,RB,1,1,C,0.16
D4,32,RB,1,2,C,0.17
D3,2,RB,1,1,CW,0.51
D4,33,RB,12,1,C,0.14
D3,13,RB,12,2,C,0.12
D3,22,RB,12,1,CW,0.26
D4,45,RB,12,2,CW,0.1
D3,6,RB,20,1,C,0.25
D6,21,RB,20,2,CW,0.11
D3,12,SC,7,1,C,0.09
D6,9,SC,7,2,C,0.06
D3,39,SC,7,1,CW,0.15
D2,44,SC,7,2,CW,0.14
D6,20,SC,18,1,C,0.07
D3,9,SC,18,2,C,0.06
D3,27,SC,18,1,CW,0.1
D2,25,SC,18,2,CW,0.12
D2,4,SC,19,1,C,0.15
D6,24,SC,19,2,C,0.1
D4,1,SC,19,1,CW,0.07
D6,27,SC,19,2,CW,0.13
D3,42,SC,20,1,C,0.16
D2,6,SC,20,2,C,0.16
D4,39,SC,20,1,CW,0.12
D3,14,SC,20,2,CW,0.17
D4,42,SQ1,2,1,C,0.16
D1,27,SQ1,2,2,C,0.27
D3,44,SQ1,2,1,CW,0.31
D5,8,SQ1,3,1,C,0.09
D3,47,SQ1,3,1,CW,0.26
D5,13,SQ1,3,2,CW,0.22
D3,24,SQ1,5,1,C,0.2
D5,27,SQ1,5,2,CW,0.4
D2,1,SQ1,7,1,C,0.32
D2,5,SQ1,7,2,CW,0.21
D1,19,SQ2,9,1,C,0.16
D5,38,SQ2,9,1,CW,0.39
D2,2,SQ2,9,2,CW,0.05
D6,34,SQ2,12,1,C,0.09
D1,40,SQ2,12,2,C,0.19
D2,18,SQ2,12,1,CW,0.17
D5,46,SQ2,12,2,CW,0.43
D6,16,SQ2,14,1,C,0.07
D1,5,SQ2,14,2,C,0.19
D2,8,SQ2,14,1,CW,0.34
D1,21,SQ2,14,2,CW,0.14
D1,35,SQ2,15,1,C,0.16
D2,37,SQ2,15,2,C,0.18
D3,29,SQ2,15,1,CW,0.21
D2,30,SQ2,15,2,CW,0.35
D5,22,SQ2,17,1,C,0.21
D5,6,SQ2,17,2,C,0.35
D5,32,SQ2,17,1,CW,0.32
D1,48,SQ2,18,1,C,0.16
D2,38,SQ2,18,2,C,0.4
D6,33,SQ2,18,1,CW,0.2
D2,33,SQ2,18,2,CW,0.18
D1,47,SQ2,20,1,C,0.15
D1,33,SQ2,20,2,C,0.27
D6,26,SQ2,20,1,CW,0.19
D1,8,SQ2,20,2,CW,0.24
D1,29,TFC,1,1,C,
D5,18,TFC,1,1,CW,0.29
D4,9,TFC,2,1,C,0.32
D3,11,TFC,2,2,C,0.18
D3,20,TFC,2,1,CW,0.38
D4,20,TFC,2,2,CW,0.29
D3,3,TFC,3,1,C,0.27
D5,17,TFC,3,2,C,0.25
D5,41,TFC,3,1,CW,0.44
D5,36,TM2,3,1,C,0.28
D4,11,TM2,3,1,CW,0.14
D1,39,TM2,4,1,C,0.29
D4,38,TM2,4,1,CW,0.34
D4,47,TM2,5,1,C,0.11
D3,15,TM2,5,1,CW,0.08
D6,28,TM2,6,1,C,0.13
D6,7,TM2,6,1,CW,0.5
D4,22,TM2,7,1,C,0.24
D5,3,TM2,7,1,CW,0.12
D2,48,TM2,7,2,CW,0.29
D4,15,TM2,9,1,C,0.17
D6,19,TM2,9,2,C,0.15
D4,26,TM2,9,1,CW,0.06
D6,29,TM2,9,2,CW,0.23
D3,8,TM2,10,1,C,0.36
D1,26,TM2,10,1,CW,0.18
D4,5,TM2,11,1,C,0.28
D4,23,TM2,11,2,C,0.15
D4,8,TM2,11,1,CW,0.21
D2,11,TM2,11,2,CW,0.12
D3,35,WL1,2,1,C,0.19
D5,9,WL1,2,1,CW,0.23
D2,19,WL1,9,1,C,0.31
D2,20,WL1,9,1,CW,0.28
D1,15,WL1,9,2,CW,0.24
D6,39,WL1,11,1,C,0.05
D5,43,WL1,11,2,C,0.16
D6,30,WL1,11,1,CW,0.12
D2,15,WL2,1,1,C,0.15
D4,31,WL2,1,2,CW,0.13
D3,1,WL2,10,1,C,0.21
D1,18,WL2,10,2,C,0.25
D6,37,WL2,10,1,CW,0.19
D2,22,WL2,11,1,C,0.14
D4,46,WL2,11,2,C,0.1
D4,3,WL2,11,1,CW,0.32
D5,21,WL2,11,2,CW,0.28
D2,40,WL2,12,1,C,0.27
D6,36,WL2,12,1,CW,0.26
D4,44,WL3,1,1,C,0.16
D4,36,WL3,1,1,CW,0.32
D5,14,WL3,14,1,C,0.21
D1,7,WL3,14,2,C,0.06
D2,41,WL3,14,1,CW,0.29
D6,11,YO10,5,1,C,0.34
D2,32,YO10,5,2,C,0.31
D2,14,YO10,5,1,CW,0.28
D5,24,YO10,5,2,CW,0.43
D5,4,YOSE8,1,1,C,0.17
D4,24,YOSE8,1,1,CW,0.09
D4,7,YOSE8,5,1,C,0.22
D5,44,YOSE8,5,2,C,0.19
D3,18,YOSE8,5,1,CW,0.16
D1,25,YOSE8,5,2,CW,0.2
