"","Population","treatment","mf","biomass","X3MSO","OHAlkenyl","X4MSO","Allyl","X5MSO","Butenyl","X3MT","MSOO","OHI3M","X4MT","Flavonol16","I3M","Flavonol17","Flavonol18","Indole","totalaliphatic","totalindole","totalGSL","totalflavonoid","logGSL","logindoles","logaliphatics","logflavonoids","shannon_diversity","cwd","ppt","pck","tmin","tmax","elevation","str","avg_growing_season","contemporary_PC1","contemporary_PC2","historic_PC1","historic_PC2"
"11","CP2","C",7,0.225,0,25.45615,0,17.161675,22.192145,1084.79129,0,53.744755,0,6.80873,22.942875,182.494475,19.26994,75.88229,19.98321,1210.154745,202.477685,1412.63243,118.095105,6.94733756363402,4.29115584989147,6.84188784302064,4.76758848163603,1.1040757949335,23132.8300876617,38781.1799707357,73901.1400728226,1.03360215648608,13.3947849449932,2244.132886,161978.220123291,7.35483870967742,1.88321710218922,0.241788680536442,1.87772915599776,0.252083344368644
"12","CP2","C",11,0.265,8.61807,0,18.48233,62.881475,14.034605,546.621905,18.892955,7.162075,0,0,14.79513,42.855985,3.9381,9.04719,4.8818,676.693415,47.737785,724.4312,27.78042,6.38062009983851,3.70058999249967,6.30939404912402,3.23956453749572,1.17894515144732,23132.8300876617,38781.1799707357,73901.1400728226,1.03360215648608,13.3947849449932,2244.132886,161978.220123291,7.35483870967742,1.88321710218922,0.241788680536442,1.87772915599776,0.252083344368644
"13","CP2","C",13,0.34,0,0,57.5823,8.127485,6.692885,349.59953,0,5.351185,0,0,27.860145,59.452825,3.46527,14.708275,19.262275,427.353385,78.7151,506.068485,46.03369,6.02495244289253,4.05987501545327,5.87133755236966,3.823196753445,1.28127888971676,23132.8300876617,38781.1799707357,73901.1400728226,1.03360215648608,13.3947849449932,2244.132886,161978.220123291,7.35483870967742,1.88321710218922,0.241788680536442,1.87772915599776,0.252083344368644
"14","CP2","C",14,0.28,0,0,54.71665,0,10.135745,260.68395,0,0,0,0,25.366725,37.38306,0,36.431605,24.41283,325.536345,61.79589,387.332235,61.79833,5.95888283169084,4.02292853462411,5.77884112229723,4.06812832968402,1.33480579207125,23132.8300876617,38781.1799707357,73901.1400728226,1.03360215648608,13.3947849449932,2244.132886,161978.220123291,7.35483870967742,1.88321710218922,0.241788680536442,1.87772915599776,0.252083344368644
"15","CP2","C",15,0.315,10.92829,0,48.127335,31.997425,13.083075,485.58435,11.92739,9.54645,0,10.438935,22.60397,88.51609,11.77931,42.693375,10.94068,621.63325,99.45677,721.09002,77.076655,6.55163159849035,4.13077379681063,6.42079291842695,4.20975328565129,1.42150443846015,23132.8300876617,38781.1799707357,73901.1400728226,1.03360215648608,13.3947849449932,2244.132886,161978.220123291,7.35483870967742,1.88321710218922,0.241788680536442,1.87772915599776,0.252083344368644
"16","CP2","C",17,0.415,30.296255,0,0,186.57904,10.69708,242.955155,12.403725,0,0,0,13.29243,15.602735,3.661485,49.555675,48.458245,482.931255,64.06098,546.992235,66.50959,6.30324148326949,4.15917298923458,6.17859911313445,4.14802063812162,1.0759949833098,23132.8300876617,38781.1799707357,73901.1400728226,1.03360215648608,13.3947849449932,2244.132886,161978.220123291,7.35483870967742,1.88321710218922,0.241788680536442,1.87772915599776,0.252083344368644
"17","CP2","CW",1,0.36,0,0,118.26564,7.264275,54.120035,1144.16455,0,16.35892,0,17.02966,26.38588,164.520045,12.290215,21.740615,3.316505,1357.20308,167.83655,1525.03963,60.41671,7.31681257310183,5.087475274478,7.20220118147463,4.05762377429965,1.07259228240233,23132.8300876617,38781.1799707357,73901.1400728226,1.03360215648608,13.3947849449932,2244.132886,161978.220123291,7.35483870967742,1.88321710218922,0.241788680536442,1.87772915599776,0.252083344368644
"18","CP2","CW",2,0.275,0,0,19.555795,6.76576,17.16566,334.620865,0,0,9.24763,5.907725,37.5386,148.573505,0,63.06415,16.43978,384.015805,174.260915,558.27672,100.60275,6.32292746272804,4.94979588705777,5.93495794743537,4.58002150282332,1.41509131468296,23132.8300876617,38781.1799707357,73901.1400728226,1.03360215648608,13.3947849449932,2244.132886,161978.220123291,7.35483870967742,1.88321710218922,0.241788680536442,1.87772915599776,0.252083344368644
"19","CP2","CW",7,0.425,0,0,38.53732,27.120805,9.93328,955.23508,0,0,0,0,23.73105,54.229075,8.837425,28.9857,9.46015,1030.826485,63.689225,1094.51571,61.554175,6.82693777052503,4.14456230216205,6.74736750278956,4.08698434255979,0.905014679802063,23132.8300876617,38781.1799707357,73901.1400728226,1.03360215648608,13.3947849449932,2244.132886,161978.220123291,7.35483870967742,1.88321710218922,0.241788680536442,1.87772915599776,0.252083344368644
"20","CP2","CW",11,0.4,0,0,51.67308,0,9.31883,642.684415,0,31.040575,0,13.28583,41.840505,16.98718,9.040545,30.582595,5.469715,748.00273,22.456895,770.459625,81.463645,6.64691536239852,2.95898990786961,6.61702150365678,4.32114524531516,0.946557444601163,23132.8300876617,38781.1799707357,73901.1400728226,1.03360215648608,13.3947849449932,2244.132886,161978.220123291,7.35483870967742,1.88321710218922,0.241788680536442,1.87772915599776,0.252083344368644
