"","Population","treatment","compound type","compound","value"
"223","KC2","CW","GSL","Flavonol18",20.80985
"224","KC2","CW","GSL","Indole",6.529655
"225","KC2","CW","GSL","totalaliphatic",974.934415
"226","KC2","CW","GSL","totalindole",37.03521
"227","KC2","CW","GSL","totalGSL",1011.969625
"228","KC2","CW","GSL","logindoles",1.35271206682112
"229","LC","C","GSL","X3MSO",19.729767
"230","LC","C","GSL","OHAlkenyl",0
"231","LC","C","GSL","X4MSO",21.452635
"232","LC","C","GSL","Allyl",243.110103
"233","LC","C","GSL","X5MSO",0
"234","LC","C","GSL","Butenyl",298.635831
"235","LC","C","GSL","X3MT",22.694121
"236","LC","C","GSL","MSOO",27.757527
"237","LC","C","GSL","OHI3M",0
"238","LC","C","GSL","X4MT",5.480933
"239","LC","C","GSL","Flavonol16",11.103804
"240","LC","C","GSL","I3M",75.226912
"241","LC","C","GSL","Flavonol17",2.438826
"242","LC","C","GSL","Flavonol18",51.818156
"243","LC","C","GSL","Indole",46.276704
"244","LC","C","GSL","totalaliphatic",638.860917
"245","LC","C","GSL","totalindole",121.503616
"246","LC","C","GSL","totalGSL",760.364533
"247","LC","C","GSL","logindoles",2.02281052929651
"248","LC","CW","GSL","X3MSO",56.060828
"249","LC","CW","GSL","OHAlkenyl",0
"250","LC","CW","GSL","X4MSO",14.233957
"251","LC","CW","GSL","Allyl",399.297488
"252","LC","CW","GSL","X5MSO",4.583371
"253","LC","CW","GSL","Butenyl",266.542335
"254","LC","CW","GSL","X3MT",23.122377
"255","LC","CW","GSL","MSOO",17.921243
"256","LC","CW","GSL","OHI3M",32.314201
"257","LC","CW","GSL","X4MT",2.81354
"258","LC","CW","GSL","Flavonol16",11.634475
"259","LC","CW","GSL","I3M",358.117962
"260","LC","CW","GSL","Flavonol17",7.786599
"261","LC","CW","GSL","Flavonol18",47.148264
"262","LC","CW","GSL","Indole",15.970976
"263","LC","CW","GSL","totalaliphatic",784.575139
