"","Population","mf","Elevation","X3MSO_C","X3MSO_CW","OHAlkenyl_C","OHAlkenyl_CW","X4MSO_C","X4MSO_CW","Allyl_C","Allyl_CW","X5MSO_C","X5MSO_CW","Butenyl_C","Butenyl_CW","X3MT_C","X3MT_CW","MSOO_C","MSOO_CW","OHI3M_C","OHI3M_CW","X4MT_C","X4MT_CW","I3M_C","I3M_CW","Indole_C","Indole_CW","totalaliphatic_C","totalaliphatic_CW","totalindole_C","totalindole_CW","totalGSL_C","totalGSL_CW"
"37","LV1",13,2593.416641,0,10.597775,0,0,25.35601,49.655255,13.268455,246.40263,5.15293,0,1004.683835,1328.91592,0,74.344225,53.062725,11.01953,3.09396,72.648195,16.458175,30.587015,10.19006,105.5012,31.519465,8.244135,1117.98213,1751.52235,44.803485,186.39353,1162.785615,1937.91588
"38","LV1",14,2593.416641,0,0,0,0,19.73882,39.4657,33.341545,24.865,0,0,943.21106,1640.246765,31.31304,0,31.4003,54.050345,0,35.643,7.231835,34.294655,5.04465,93.90675,42.640615,21.425795,1066.2366,1792.922465,47.685265,150.975545,1113.921865,1943.89801
"39","LV1",19,2593.416641,0,55.643505,0,0,52.74758,37.56245,22.654635,119.7314,10.4572,0,1130.61856,565.58541,0,17.855645,89.775675,54.773425,0,7.383155,12.23843,6.558705,20.89814,18.482685,22.622205,24.66809,1318.49208,857.71054,43.520345,50.53393,1362.012425,908.24447
"40","LV2",2,2500.457178,0,0,60.65445,93.3841,12.435915,29.736405,12.386305,7.36923,28.995025,16.30261,736.921765,640.470245,0,0,0,12.23259,0,5.843355,0,0,34.00502,50.97339,49.650265,18.116015,851.39346,799.49518,83.655285,74.93276,935.048745,874.42794
"41","LV2",4,2500.457178,0,0,0,0,16.15219,54.443845,0,29.289355,0,17.963255,222.50514,1322.82782,0,0,0,93.979075,0,14.076825,26.86708,12.298115,191.46414,230.296805,33.36773,8.69168,265.52441,1530.801465,224.83187,253.06531,490.35628,1783.866775
"42","LV2",5,2500.457178,12.619305,0,0,0,33.601805,14.73717,18.486695,29.81849,0,22.57539,400.51278,1291.36865,19.95603,0,33.77772,82.2834,0,22.08462,25.73667,0,8.956735,138.07335,7.44614,9.51271,544.691005,1440.7831,16.402875,169.67068,561.09388,1610.45378
"43","LV2",8,2500.457178,0,0,0,0,72.229565,18.98049,35.65684,69.888245,7.42696,12.74967,969.94211,1291.814665,29.491805,45.493605,35.171235,8.670925,0,20.453055,8.453845,11.80719,16.06383,30.375015,21.12177,16.56926,1158.37236,1459.40479,37.1856,67.39733,1195.55796,1526.80212
"44","LV2",9,2500.457178,0,81.34578,0,0,0,38.187795,19.4637,506.03446,0,0,880.19733,484.453615,0,15.34881,0,71.640105,0,0,0,46.53925,31.84776,255.63559,47.94014,14.303135,899.66103,1243.549815,79.7879,269.938725,979.44893,1513.48854
"45","LV2",10,2500.457178,0,0,0,0,86.14952,13.56444,410.063615,35.519345,29.64451,0,1281.410035,397.747375,0,9.93582,104.650885,20.08857,0,0,14.213275,12.989235,36.452395,72.68103,37.494765,28.99908,1926.13184,489.844785,73.94716,101.68011,2000.079,591.524895
"46","MtSH",9,1282,0,0,0,0,0,9.196845,12.11329,18.928825,0,0,401.80206,470.50062,0,13.24422,6.55912,0,0,0,10.7907,4.289425,0,38.97515,5.05331,36.383885,431.26517,516.159935,5.05331,75.359035,436.31848,591.51897
