Date,Time,Unit,Value
12/7/21,5:30:00,C,25
12/7/21,6:30:00,C,24
12/7/21,7:30:00,C,24
12/7/21,8:30:00,C,24
12/7/21,9:30:00,C,24
12/7/21,10:30:00,C,24
12/7/21,11:30:00,C,24.5
12/8/21,12:30:00,C,24.5
12/8/21,1:30:00,C,24.5
12/8/21,2:30:00,C,24.5
12/8/21,3:30:00,C,24.5
12/8/21,4:30:00,C,24.5
12/8/21,5:30:00,C,24.5
12/8/21,6:30:00,C,24.5
12/8/21,7:30:00,C,24.5
12/8/21,8:30:00,C,24.5
12/8/21,9:30:00,C,25
12/8/21,10:30:00,C,25
12/8/21,11:30:00,C,25
12/8/21,12:30:00,C,25
12/8/21,1:30:00,C,25
12/8/21,2:30:00,C,25
12/8/21,3:30:00,C,25
12/8/21,4:30:00,C,25
12/8/21,5:30:00,C,25
12/8/21,6:30:00,C,24
12/8/21,7:30:00,C,24
12/8/21,8:30:00,C,24
12/8/21,9:30:00,C,24
12/8/21,10:30:00,C,24
12/8/21,11:30:00,C,24.5
12/9/21,12:30:00,C,25
12/9/21,1:30:00,C,25
12/9/21,2:30:00,C,25
12/9/21,3:30:00,C,25
12/9/21,4:30:00,C,25
12/9/21,5:30:00,C,25
12/9/21,6:30:00,C,25
12/9/21,7:30:00,C,25
12/9/21,8:30:00,C,25
12/9/21,9:30:00,C,25
12/9/21,10:30:00,C,25
12/9/21,11:30:00,C,25
12/9/21,12:30:00,C,25
12/9/21,1:30:00,C,25
12/9/21,2:30:00,C,25
12/9/21,3:30:00,C,25
12/9/21,4:30:00,C,25
12/9/21,5:30:00,C,25
12/9/21,6:30:00,C,24
12/9/21,7:30:00,C,24
12/9/21,8:30:00,C,24
12/9/21,9:30:00,C,24
12/9/21,10:30:00,C,24
12/9/21,11:30:00,C,25
12/10/21,12:30:00,C,25
12/10/21,1:30:00,C,25
12/10/21,2:30:00,C,25
12/10/21,3:30:00,C,25
12/10/21,4:30:00,C,25
12/10/21,5:30:00,C,25
12/10/21,6:30:00,C,25
12/10/21,7:30:00,C,25
12/10/21,8:30:00,C,25
12/10/21,9:30:00,C,25
12/10/21,10:30:00,C,25
12/10/21,11:30:00,C,25
12/10/21,12:30:00,C,25
12/10/21,1:30:00,C,25
12/10/21,2:30:00,C,25
12/10/21,3:30:00,C,25
12/10/21,4:30:00,C,25
12/10/21,5:30:00,C,25
12/10/21,6:30:00,C,24
