"","Population","treatment","biomass","Rack","Location","mf","rep","leaf_type","X3MSO_5.2","OH.Alkenyl_6","X4MSO_7.1","Allyl_7.4","X5MSO_10.2","Butenyl_12.1","X3MT_13.6","MSOO_13.8","OH.I3M_15.1","X4MT._15.5","Flavonol_16.1","I3M_16.7","Flavonol_17.5","Flavonol_18.5","Indole_18.8","key"
"89","KC2","C",0.27,"D3",31,11,1,"induced",24.9567,194.03171,25.32308,212.60703,0,483.89395,0,0,0,8.508,14.44397,0,0,22.15023,5.28713,"D3 31"
"90","KC2","CW",0.13,"D3",33,11,1,"induced",66.856,134.40587,23.04888,304.01434,0,524.24683,54.22534,0,0,23.39249,9.42917,0,0,14.75478,7.63928,"D3 33"
"91","LC","C",0.29,"D4",34,1,1,"induced",0,0,0,659.14868,0,86.48318,16.49276,16.01743,0,0,16.19418,0,10.02994,85.62591,25.66798,"D4 34"
"92","LC","C",0.3,"D5",23,1,2,"induced",33.10261,0,0,299.80963,0,0,62.78505,0,0,0,0,0,0,60.30733,88.32576,"D5 23"
"93","LC","CW",0.1,"D5",16,1,1,"induced",32.02591,0,0,482.02649,0,44.48919,28.22353,26.94882,0,0,7.43085,41.31725,0,49.10357,57.3707,"D5 16"
"94","LC","CW",0.05,"D5",31,1,2,"induced",57.51705,0,42.54118,79.29086,0,215.48482,56.91203,0,0,18.88638,10.95524,45.87605,0,49.74499,11.18889,"D5 31"
"95","LC","C",0.28,"D6",12,3,1,"induced",0,0,54.79696,34.41756,0,533.92438,0,55.0992,0,9.4424,15.20023,52.48858,0,70.35163,120.94405,"D6 12"
"96","LC","CW",0.15,"D6",22,3,1,"induced",41.48827,0,0,298.67767,0,304.50839,15.77964,23.44389,14.31229,0,23.12212,184.47427,7.02239,21.48222,0,"D6 22"
"97","LC","C",0.32,"D1",36,7,1,"induced",24.80297,0,26.2974,274.66934,0,383.35526,33.93338,22.79669,0,9.81245,13.10711,125.99339,0,25.82839,6.65563,"D1 36"
"98","LC","CW",0.41,"D3",25,7,1,"induced",101.71136,0,21.04375,607.53119,0,452.87094,28.90315,0,52.6206,0,0,1036.76758,16.61243,65.40763,11.04292,"D3 25"
"99","LC","C",0.22,"D1",6,8,1,"induced",36.59916,0,14.42173,363.70395,0,258.29602,28.64133,52.74619,0,0,11.586,82.28701,0,26.99667,0,"D1 6"
"100","LC","C",0.25,"D1",30,8,2,"induced",39.88552,0,22.99538,264.40945,0,147.19353,13.5635,34.98003,0,0,7.341,230.81564,0,33.27124,5.51588,"D1 30"
"101","LC","CW",0.2,"D1",16,8,1,"induced",74.59087,0,14.12745,400.09747,9.84631,235.57434,27.72388,61.83368,171.13037,0,20.23449,133.13666,30.59635,86.28404,5.29035,"D1 16"
"102","LC","CW",0.24,"D2",28,8,2,"induced",18.38875,0,15.77062,261.09058,0,288.85782,8.11261,33.87576,9.22105,0,8.72641,365.948,0,29.05773,11.56263,"D2 28"
"103","LC","C",0.14,"D5",48,10,1,"induced",0,0,14.92052,49.35406,0,514.35651,22.56851,0,0,16.29963,19.30218,37.14428,14.35832,87.12953,46.94698,"D5 48"
"104","LC","C",0.26,"D3",45,10,2,"induced",38.10444,0,0,176.50146,0,145.46979,15.0233,18.03984,0,0,0,45.05825,0,32.49084,41.11108,"D3 45"
"105","LC","CW",0.37,"D3",28,10,1,"induced",91.68644,0,27.81282,320.35785,0,335.88495,20.88614,0,8.92481,9.24902,11.84902,455.65958,0,62.4575,11.90158,"D3 28"
"106","LC","CW",0.33,"D4",14,10,2,"induced",0,0,0,637.69391,35.9874,30.37357,0,9.66639,0,0,10.9045,96.75838,0,21.05511,40.30977,"D4 14"
"107","LV1","C",0.15,"D1",28,4,1,"induced",0,0,198.04428,38.0809,44.98935,1562.80798,10.96738,254.03065,0,96.28424,25.33951,142.88864,11.83472,19.8246,6.28223,"D1 28"
"108","LV1","C",0.21,"D2",13,9,1,"induced",0,0,87.97322,14.28337,26.54496,1524.78894,0,120.92133,35.55731,13.51169,11.52476,436.35419,65.77213,100.99244,8.24176,"D2 13"
"109","LV1","C",0.26,"D1",11,9,2,"induced",0,0,183.31104,12.27459,15.18577,1437.84912,0,143.41393,0,16.03297,29.05006,24.00856,7.76045,20.33657,0,"D1 11"
"110","LV1","CW",0.24,"D2",23,9,1,"induced",0,0,26.55971,14.46469,0,732.34485,0,46.92445,37.4972,0,25.24624,44.38782,12.95773,25.65564,8.67443,"D2 23"
"111","LV1","CW",0.27,"D6",32,9,2,"induced",0,0,57.62883,25.14635,0,881.99683,0,48.82531,96.20867,33.1007,35.91216,24.87068,95.06173,55.80426,0,"D6 32"
"112","LV1","C",0.15,"D2",16,10,1,"induced",0,0,66.41347,0,11.26652,828.46246,0,83.92535,0,16.28141,18.03131,28.83213,0,9.97219,8.29109,"D2 16"
"113","LV1","C",0.3,"D5",25,10,2,"induced",24.88098,0,0,338.54361,0,138.47664,60.53103,0,0,0,21.15788,33.96011,0,77.35586,47.70156,"D5 25"
"114","LV1","CW",0.06,"D6",10,10,1,"induced",0,109.89437,0,23.58444,0,522.19464,0,0,0,0,19.21941,39.42099,19.99461,80.87325,75.8355,"D6 10"
"115","LV1","CW",0.33,"D2",29,10,2,"induced",0,0,146.28227,0,12.1191,844.88776,0,104.96101,26.36003,14.37253,43.96533,55.32686,17.10872,44.45357,11.35358,"D2 29"
"116","LV1","C",0.27,"D6",25,13,1,"induced",0,0,31.47553,14.48898,10.30586,827.21899,0,47.28451,6.18792,14.05087,48.97867,20.38012,0,46.55264,0,"D6 25"
"117","LV1","C",0.29,"D1",12,13,2,"induced",0,0,19.23649,12.04793,0,1182.14868,0,58.84094,0,18.86548,42.86823,0,0,42.68518,63.03893,"D1 12"
"118","LV1","CW",0.27,"D3",41,13,1,"induced",0,0,87.2592,26.85467,0,1864.04272,109.86611,0,145.29639,21.26746,50.88174,135.92429,95.86389,151.94122,7.45049,"D3 41"
"119","LV1","CW",0.15,"D5",37,13,2,"induced",21.19555,0,12.05131,465.95059,0,793.78912,38.82234,22.03906,0,39.90657,12.25414,75.07811,21.05948,102.30046,9.03778,"D5 37"
