Run Index,Plate,Directory,SampleName,Plate Position,Rack,Location,leaf_type,3MSO_5.2,OH-Alkenyl_6,4MSO_7.1,Allyl_7.4,5MSO_10.2,Butenyl_12.1,Junk_13,3MT_13.6,MSOO_13.8,OH I3M_15.1,4MT _15.5,Flavonol_16.1,I3M_16.7,Flavonol_17.5,Flavonol_18.5,Junk_18.7,Indole_18.8
70,6,071-P1-F9-189.D,NA,P1-F-09,,,,53.48825,,,439.84933,,40.09167,,3948.31982,,,79.86698,50.23843,115.0095,,500.90286,,66.02423
71,6,072-P1-G9-190.D,NA,P1-G-09,,,,,,,99.14513,,3013.66968,22.12418,,13.77746,,85.84161,16.14122,,,286.74167,,27.90708
72,6,073-P1-H9-191.D,NA,P1-H-09,,,,,73.81992,24.09283,27.06808,,91.95128,,40.04669,,,553.21741,94.27109,,15.10897,468.44589,,47.5398
73,6,074-P1-A10-192.D,NA,P1-A-10,,,,,240.9241,,121.72108,89.08852,2227.79224,16.88094,20.91724,38.69794,,370.87878,78.32148,,,459.83218,,
74,6,075-P1-B10-193.D,NA,P1-B-10,,,,,122.39828,,24.53556,,90.86971,,10.31817,14.54005,,690.30792,45.2861,,24.1147,493.69537,,
75,6,076-P1-C10-194.D,NA,P1-C-10,,,,,203.67233,51.80974,,22.07022,376.095,,,,,306.905,60.13343,,,399.08414,,35.42248
76,6,077-P1-D10-195.D,NA,P1-D-10,,,,,,44.68464,41.94753,15.06214,1443.82666,,,,,26.371,15.55071,,,93.93374,,
77,6,078-P1-E10-196.D,NA,P1-E-10,,,,,,29.98028,,,51.99642,,,,,825.20905,82.77709,,20.64212,458.09543,,51.38071
78,6,079-P1-F10-197.D,NA,P1-F-10,,,,,74.91732,,,,74.58096,,17.76834,,,232.3741,38.8216,,,346.76816,,8.00278
79,6,080-P1-G10-198.D,NA,P1-G-10,,,,,,28.42827,26.75917,28.79887,1743.72839,11.5191,107.98782,287.10504,,4483.71875,144.37502,,86.47136,758.6062,,
